,precision,recall,f1-score,support
Automotive,0.7102473498233216,0.6340694006309149,0.6699999999999999,317.0
Construction,0.6475195822454308,0.6424870466321243,0.6449934980494149,386.0
Consumer Goods,0.5277207392197125,0.5079051383399209,0.5176233635448136,506.0
Financial Services,0.806282722513089,0.7475728155339806,0.7758186397984886,412.0
Human Resources,0.74375,0.616580310880829,0.6742209631728046,193.0
Information Technology and Services,0.6331331331331331,0.840531561461794,0.7222380816443048,1505.0
Insurance,0.7636363636363637,0.672,0.7148936170212765,125.0
Legal Services,0.8907563025210085,0.828125,0.8582995951417005,128.0
"Leisure, Travel & Tourism",0.8461538461538461,0.8114754098360656,0.8284518828451883,122.0
Logistics and Supply Chain,0.7982456140350878,0.6190476190476191,0.6973180076628352,147.0
Machinery,0.4770992366412214,0.49504950495049505,0.4859086491739553,505.0
Management Consulting,0.5973597359735974,0.5427286356821589,0.5687352710133543,667.0
Marketing and Advertising,0.6666666666666666,0.6896551724137931,0.6779661016949153,522.0
Mechanical or Industrial Engineering,0.49921996879875197,0.5545927209705372,0.5254515599343186,577.0
Media Production,0.5116279069767442,0.27385892116182575,0.3567567567567568,241.0
Medical Practice,0.7463556851311953,0.7191011235955056,0.7324749642346209,356.0
Real Estate,0.8155339805825242,0.711864406779661,0.7601809954751131,236.0
Recreational Facilities and Services,0.6571428571428571,0.5897435897435898,0.6216216216216216,156.0
Renewables & Environment,0.6615384615384615,0.4174757281553398,0.511904761904762,103.0
Telecommunications,0.75,0.3284671532846715,0.4568527918781726,137.0
Wholesale,0.5481927710843374,0.3922413793103448,0.457286432160804,232.0
accuracy,0.6379242044104054,0.6379242044104054,0.6379242044104054,0.6379242044104054
macro avg,0.6808658535151119,0.6016463161148177,0.6313808359394869,7573.0
weighted avg,0.6415209171851048,0.6379242044104054,0.6323967853222654,7573.0
