,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,201,1,17,4,2,25,0,0,0,3,14,10,7,25,1,0,0,1,0,1,5
Construction,1,248,20,4,1,25,0,0,2,2,27,10,6,17,0,3,13,1,1,0,5
Consumer Goods,12,15,257,6,0,53,1,0,1,0,35,9,4,62,3,7,3,12,6,3,17
Financial Services,10,1,8,308,1,36,12,4,1,1,1,20,2,1,0,4,1,1,0,0,0
Human Resources,0,2,1,1,119,22,0,0,0,0,2,31,8,2,0,4,0,1,0,0,0
Information Technology and Services,8,4,15,13,7,1265,3,2,2,5,11,68,33,15,24,13,2,3,1,7,4
Insurance,2,0,0,14,0,10,84,0,0,0,0,2,4,1,1,3,4,0,0,0,0
Legal Services,0,2,2,5,0,2,0,106,0,0,0,5,2,0,0,3,1,0,0,0,0
"Leisure, Travel & Tourism",0,0,1,1,0,9,0,0,99,0,0,2,0,1,1,0,2,6,0,0,0
Logistics and Supply Chain,6,3,7,1,0,17,0,0,0,91,6,4,2,7,0,1,0,0,1,0,1
Machinery,11,21,21,2,1,29,0,0,1,2,250,10,2,124,1,5,3,1,4,1,16
Management Consulting,3,15,4,8,19,166,4,6,1,4,4,362,29,5,7,17,4,2,3,2,2
Marketing and Advertising,5,11,11,2,2,64,0,0,2,0,4,23,360,2,22,3,3,3,0,0,5
Mechanical or Industrial Engineering,15,13,39,2,2,53,0,0,0,2,99,14,2,320,0,4,1,2,1,0,8
Media Production,0,1,9,4,3,87,0,1,3,0,0,4,53,1,66,3,0,1,0,1,4
Medical Practice,1,2,8,0,0,35,4,0,1,0,11,13,3,18,0,256,1,2,1,0,0
Real Estate,1,19,1,5,1,17,2,0,3,3,3,4,2,2,0,4,168,0,0,0,1
Recreational Facilities and Services,0,2,12,0,1,8,0,0,1,0,10,4,8,4,0,5,0,92,3,0,6
Renewables & Environment,1,8,5,1,0,10,0,0,0,0,21,2,0,11,0,1,0,0,43,0,0
Telecommunications,1,4,12,1,1,50,0,0,0,0,3,6,6,4,0,1,0,1,1,45,1
Wholesale,5,11,37,0,0,15,0,0,0,1,23,3,7,19,3,6,0,11,0,0,91
