,precision,recall,f1-score,support
Automotive,0.7272727272727273,0.3785488958990536,0.49792531120331945,317.0
Construction,0.5972222222222222,0.33419689119170987,0.4285714285714286,386.0
Consumer Goods,0.5245901639344263,0.31620553359683795,0.3945745992601726,506.0
Financial Services,0.7827586206896552,0.5509708737864077,0.6467236467236467,412.0
Human Resources,0.7678571428571429,0.44559585492227977,0.5639344262295082,193.0
Information Technology and Services,0.33445508672016566,0.8584717607973422,0.481371087928465,1505.0
Insurance,0.71875,0.368,0.48677248677248686,125.0
Legal Services,0.8536585365853658,0.546875,0.6666666666666667,128.0
"Leisure, Travel & Tourism",0.8144329896907216,0.6475409836065574,0.7214611872146118,122.0
Logistics and Supply Chain,0.7333333333333333,0.3741496598639456,0.4954954954954955,147.0
Machinery,0.44039735099337746,0.2633663366336634,0.32961586121437425,505.0
Management Consulting,0.5759803921568627,0.3523238380809595,0.4372093023255814,667.0
Marketing and Advertising,0.6888888888888889,0.5344827586206896,0.6019417475728155,522.0
Mechanical or Industrial Engineering,0.4106090373280943,0.36221837088388215,0.38489871086556177,577.0
Media Production,0.4297520661157025,0.2157676348547718,0.28729281767955805,241.0
Medical Practice,0.7120418848167539,0.38202247191011235,0.4972577696526508,356.0
Real Estate,0.8345864661654135,0.4703389830508475,0.6016260162601627,236.0
Recreational Facilities and Services,0.4444444444444444,0.15384615384615385,0.2285714285714286,156.0
Renewables & Environment,0.6842105263157895,0.2524271844660194,0.36879432624113473,103.0
Telecommunications,0.675,0.19708029197080293,0.3050847457627119,137.0
Wholesale,0.4854368932038835,0.21551724137931033,0.2985074626865672,232.0
accuracy,0.46824244024825035,0.46824244024825035,0.46824244024825035,0.46824244024825035
macro avg,0.6302704177969034,0.39142603425530226,0.46306173928087363,7573.0
weighted avg,0.5557718933815005,0.46824244024825035,0.461775749510431,7573.0
