,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,126,5,18,6,2,98,1,1,0,3,15,10,2,20,2,2,2,0,0,0,4
Construction,2,166,13,4,1,115,0,0,2,2,21,11,7,25,1,3,6,3,2,0,2
Consumer Goods,11,13,212,2,0,142,1,0,0,2,25,12,8,45,4,5,1,8,2,2,11
Financial Services,5,2,3,247,2,97,8,4,0,0,5,13,5,8,2,4,5,0,1,1,0
Human Resources,2,1,1,3,93,50,1,0,0,0,2,30,5,2,2,0,0,0,0,1,0
Information Technology and Services,11,11,23,22,6,1228,2,1,1,8,13,64,25,28,33,8,3,3,1,9,5
Insurance,4,0,1,10,0,42,54,0,0,1,3,2,1,4,0,2,1,0,0,0,0
Legal Services,0,1,2,2,1,33,0,76,0,0,0,6,1,2,1,1,0,1,0,0,1
"Leisure, Travel & Tourism",1,1,1,0,1,18,0,0,88,1,1,2,2,0,0,1,1,3,0,0,1
Logistics and Supply Chain,2,1,2,1,1,52,0,0,1,67,3,5,0,6,0,1,0,1,0,0,4
Machinery,6,8,21,5,0,167,0,0,1,3,156,9,6,97,3,7,0,3,5,0,8
Management Consulting,7,6,8,13,14,273,2,4,0,2,8,276,17,8,13,8,2,1,2,0,3
Marketing and Advertising,2,5,3,1,1,147,0,1,3,1,6,17,308,3,15,5,0,0,0,2,2
Mechanical or Industrial Engineering,14,14,32,4,2,170,0,2,0,1,64,4,3,245,0,6,2,2,3,1,8
Media Production,2,2,5,1,2,92,1,0,0,0,0,12,42,2,73,2,1,0,0,2,2
Medical Practice,3,1,5,3,3,115,0,2,1,2,10,11,2,7,3,178,1,4,1,1,3
Real Estate,1,6,5,5,1,64,2,1,3,1,2,12,2,1,0,2,125,1,1,0,1
Recreational Facilities and Services,3,2,13,2,1,54,1,0,0,0,6,5,2,4,1,5,0,51,1,1,4
Renewables & Environment,4,5,6,2,0,20,0,1,0,0,16,0,3,12,1,2,0,0,31,0,0
Telecommunications,1,1,7,1,1,68,0,1,0,1,3,3,3,1,1,2,2,1,2,37,1
Wholesale,6,6,27,1,2,63,1,0,1,1,15,6,8,15,2,6,2,8,0,1,61
