feature,value
banking,0.007873437367379665
werbeagentur,0.003603618824854493
software,0.003430604003369808
hotel,0.003390428377315402
managementberatung,0.0033140091691166162
bank,0.002981564961373806
personalvermittlung,0.00294109876267612
unternehmensberatung,0.002861802466213703
immobilien,0.002665120642632246
construction,0.0025357394479215145
kliniken,0.0024780468083918095
autohaus,0.002476724795997143
arbeitsschutz,0.002355912234634161
architekten,0.0021379771642386913
steuerberater,0.0021283559035509825
strom,0.002078055636957288
volksbank,0.0020760411862283945
bmw,0.0020702281035482883
it,0.002050753915682435
apotheke,0.002013374585658312
logistics,0.0020116446539759636
steuerberatung,0.00200163503177464
anlagen,0.0019630861934274435
estate,0.001956724328920245
werkzeugbau,0.0018724662950262427
cloud,0.0018613102147355676
kanzlei,0.0018577760783955455
wohnungen,0.0018557937582954764
coaching,0.0018370958277955651
audi,0.0018003915902227163
cnc,0.0017675707349553704
pharmaceutical,0.001752757583744824
clinical,0.0017226659692823887
marketing,0.001717249397188425
electronic,0.0016702594002708793
research,0.0016515698516741395
fenster,0.0016312740044668317
bauunternehmen,0.0016277064569294453
mobilfunk,0.0016153795877471566
electronics,0.001564533682540059
patienten,0.001558647258207202
led,0.0015188716351985931
vehicles,0.0015172457788139582
architektur,0.0015099217416718602
hotels,0.0015047764172777534
electrical,0.0015027809422463179
werbung,0.0014728385722264647
kostenlos,0.001469083596020937
auto,0.0014675906859338284
immobilienmakler,0.0014660212909802794
spedition,0.001432922319509089
typo3,0.0014169077621772885
versorgung,0.0014070002362132072
versicherungsmakler,0.0013998491922393441
gas,0.001383058843202889
vertrieb,0.0013700340641662478
cars,0.0013674033107236028
elektronik,0.0013460208429023623
job,0.0013392892433330417
agency,0.0013369375374168158
internetagentur,0.0013187855947762728
shop,0.0013184561394155025
medical,0.0013140123337507248
recruitment,0.0013046328676864505
vehicle,0.0012992529664188623
sondermaschinen,0.0012939762091264129
versicherung,0.001291687716729939
sensors,0.0012779744574800134
commerce,0.0012704584514722228
erp,0.0012537233997136354
surface,0.00125287810806185
zeitarbeit,0.0012473920360207558
financial,0.0012472446542233229
therapie,0.0012417043326422572
agentur,0.001231713336892426
mercedes,0.0012304112315177917
automation,0.001228008302859962
logistik,0.00121474324259907
zutaten,0.0012118869926780462
banque,0.0012073107063770294
hausverwaltung,0.0012035872787237167
insurance,0.0011944039724767208
industrielle,0.0011937104864045978
itk,0.001190707553178072
softwarelösungen,0.0011885508429259062
personaldienstleister,0.0011870820308104157
baufinanzierung,0.0011834028409793973
aluminium,0.0011815873440355062
architecture,0.0011736467713490129
elektrotechnik,0.0011677758302539587
personalberatung,0.001162685570307076
firmenkunden,0.0011529797920957208
machines,0.0011478776577860117
arzneimittel,0.001144865178503096
beratungsunternehmen,0.0011287921806797385
stadtwerke,0.001117706298828125
microsoft,0.0011116028763353825
finanzberatung,0.0011093229986727238
agence,0.0011038826778531075
pharma,0.0011037784861400723
telecom,0.001089534955099225
sparkassen,0.0010868643876165152
tiefbau,0.001083589275367558
brandschutz,0.0010807615472003818
therapy,0.0010722666047513485
institutionelle,0.0010716180549934506
car,0.0010699558770284057
spirituosen,0.001068645273335278
lives,0.0010638011153787374
jobs,0.0010583543917164207
app,0.0010577545035630465
stiftung,0.0010384446941316128
creative,0.0010379081359133124
investors,0.0010362912435084581
architects,0.0010248934850096703
organisationsentwicklung,0.0010220770491287112
asset,0.0010182956466451287
organisation,0.0010171522153541446
erneuerbarer,0.0010089363204315305
fitness,0.0010082324733957648
trucks,0.0010070644784718752
law,0.0009917300194501877
vermögensverwaltung,0.0009898828575387597
snacks,0.0009888169588521123
werbeartikel,0.0009855534881353378
gewerbeimmobilien,0.0009850352071225643
werbemittel,0.0009810937335714698
automotive,0.0009792647324502468
fonds,0.0009780351538211107
steel,0.0009732739417813718
versicherungen,0.0009697518544271588
dealer,0.0009667465928941965
factoring,0.0009656341280788183
sensoren,0.0009631775319576263
seguros,0.0009552500559948385
transport,0.0009534836281090975
civil,0.0009515585843473673
gebrauchtwagen,0.0009457988198846579
geschmack,0.0009395434171892703
medizinischen,0.000937607663217932
maschinen,0.0009361465345136821
enterprise,0.0009311309549957514
cargo,0.0009299188968725502
dosiertechnik,0.000918141333386302
medizinische,0.0009176881867460907
digitalisierung,0.0009171126293949783
