,precision,recall,f1-score,support
Automotive,0.7183544303797469,0.7160883280757098,0.717219589257504,317.0
Construction,0.6597938144329897,0.6632124352331606,0.661498708010336,386.0
Consumer Goods,0.556390977443609,0.5849802371541502,0.5703275529865126,506.0
Financial Services,0.7707317073170732,0.7669902912621359,0.7688564476885645,412.0
Human Resources,0.7515151515151515,0.6424870466321243,0.6927374301675977,193.0
Information Technology and Services,0.7143688190808609,0.8159468438538205,0.7617866004962778,1505.0
Insurance,0.7946428571428571,0.712,0.7510548523206751,125.0
Legal Services,0.8682170542635659,0.875,0.8715953307392996,128.0
"Leisure, Travel & Tourism",0.85,0.8360655737704918,0.8429752066115703,122.0
Logistics and Supply Chain,0.7835820895522388,0.7142857142857143,0.7473309608540926,147.0
Machinery,0.504930966469428,0.5069306930693069,0.5059288537549408,505.0
Management Consulting,0.6185243328100472,0.5907046476761619,0.6042944785276074,667.0
Marketing and Advertising,0.7088607594936709,0.7509578544061303,0.7293023255813954,522.0
Mechanical or Industrial Engineering,0.5448504983388704,0.5684575389948007,0.556403731976251,577.0
Media Production,0.4230769230769231,0.31950207468879666,0.36406619385342787,241.0
Medical Practice,0.7694524495677233,0.75,0.759601706970128,356.0
Real Estate,0.8523809523809524,0.7584745762711864,0.8026905829596412,236.0
Recreational Facilities and Services,0.6442953020134228,0.6153846153846154,0.6295081967213114,156.0
Renewables & Environment,0.6712328767123288,0.47572815533980584,0.5568181818181819,103.0
Telecommunications,0.6593406593406593,0.43795620437956206,0.5263157894736843,137.0
Wholesale,0.583756345177665,0.4956896551724138,0.5361305361305362,232.0
accuracy,0.6692195959329196,0.6692195959329196,0.6692195959329196,0.6692195959329196
macro avg,0.688014236500466,0.6474686897928613,0.664592536042835,7573.0
weighted avg,0.6675553812437605,0.6692195959329196,0.6663569318637321,7573.0
