,precision,recall,f1-score,support
Automotive,0.7007042253521126,0.6277602523659306,0.6622296173044925,317.0
Construction,0.6318537859007833,0.6269430051813472,0.6293888166449935,386.0
Consumer Goods,0.5059288537549407,0.5059288537549407,0.5059288537549407,506.0
Financial Services,0.7963917525773195,0.75,0.7725000000000001,412.0
Human Resources,0.7515923566878981,0.6113989637305699,0.6742857142857143,193.0
Information Technology and Services,0.6456852791878173,0.8451827242524917,0.7320863309352519,1505.0
Insurance,0.7777777777777778,0.672,0.721030042918455,125.0
Legal Services,0.9067796610169492,0.8359375,0.8699186991869919,128.0
"Leisure, Travel & Tourism",0.8596491228070176,0.8032786885245902,0.8305084745762712,122.0
Logistics and Supply Chain,0.8050847457627118,0.6462585034013606,0.7169811320754716,147.0
Machinery,0.480225988700565,0.504950495049505,0.4922779922779923,505.0
Management Consulting,0.608214849921011,0.5772113943028486,0.5923076923076923,667.0
Marketing and Advertising,0.6920222634508348,0.7145593869731801,0.7031102733270499,522.0
Mechanical or Industrial Engineering,0.5030864197530864,0.5649913344887348,0.5322448979591837,577.0
Media Production,0.5365853658536586,0.27385892116182575,0.3626373626373627,241.0
Medical Practice,0.7659574468085106,0.7078651685393258,0.7357664233576642,356.0
Real Estate,0.8391959798994975,0.7076271186440678,0.767816091954023,236.0
Recreational Facilities and Services,0.6462585034013606,0.6089743589743589,0.627062706270627,156.0
Renewables & Environment,0.696969696969697,0.44660194174757284,0.5443786982248521,103.0
Telecommunications,0.7142857142857143,0.291970802919708,0.41450777202072536,137.0
Wholesale,0.6025641025641025,0.4051724137931034,0.4845360824742268,232.0
accuracy,0.6442625115542058,0.6442625115542058,0.6442625115542058,0.6442625115542058
macro avg,0.688895899639684,0.6061177060859745,0.6367382702139991,7573.0
weighted avg,0.6488148491598956,0.6442625115542058,0.638939496959783,7573.0
