,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,231,2,10,2,1,12,0,1,0,0,19,9,2,22,0,1,0,2,0,0,3
Construction,0,284,17,1,1,10,0,0,2,1,25,11,5,16,0,2,5,1,3,0,2
Consumer Goods,10,18,317,2,0,39,0,1,2,1,21,7,4,41,3,7,2,15,2,2,12
Financial Services,5,2,5,324,1,37,12,2,0,0,0,13,2,1,1,2,2,0,1,2,0
Human Resources,0,0,0,1,131,11,1,0,1,0,2,33,5,1,1,3,0,0,0,1,2
Information Technology and Services,5,4,21,15,7,1278,1,3,3,8,4,53,26,13,33,12,3,3,0,10,3
Insurance,1,0,0,11,0,14,91,0,0,0,0,3,1,1,0,1,2,0,0,0,0
Legal Services,0,1,0,3,0,1,0,120,0,0,0,1,0,0,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,1,1,1,7,0,0,102,0,0,0,2,0,0,1,1,4,0,0,1
Logistics and Supply Chain,3,2,8,0,0,6,0,0,0,105,7,5,1,5,1,1,0,0,1,0,2
Machinery,6,18,18,0,0,23,0,0,1,1,283,8,1,123,0,3,4,1,4,0,11
Management Consulting,4,16,6,11,21,130,4,6,0,1,6,404,28,1,10,10,2,1,2,3,1
Marketing and Advertising,1,7,9,1,1,42,0,0,3,3,2,18,405,3,21,3,0,1,0,0,2
Mechanical or Industrial Engineering,15,24,36,0,1,32,0,0,0,1,69,6,1,368,2,2,0,2,2,1,15
Media Production,0,0,8,3,1,71,1,1,2,1,1,9,49,2,83,1,1,2,0,3,2
Medical Practice,1,3,7,0,0,21,2,0,0,2,4,13,3,8,0,283,0,5,1,0,3
Real Estate,0,15,6,8,0,8,1,0,3,1,0,5,2,1,1,0,183,2,0,0,0
Recreational Facilities and Services,0,1,11,0,1,8,0,0,2,0,6,1,7,3,0,5,0,108,1,0,2
Renewables & Environment,3,2,6,2,0,4,0,0,0,0,17,1,2,14,0,0,0,0,52,0,0
Telecommunications,0,3,17,1,1,40,0,0,0,0,2,3,7,2,2,0,0,0,1,55,3
Wholesale,6,7,27,0,0,7,0,0,0,2,20,1,11,14,0,9,2,9,0,1,116
