,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,201,4,19,1,1,29,0,0,0,4,16,9,6,22,2,0,0,1,0,0,2
Construction,2,242,19,0,2,29,2,0,2,2,32,18,7,16,0,3,6,0,1,0,3
Consumer Goods,15,18,269,5,1,48,0,1,1,0,38,7,7,61,2,3,2,9,5,2,12
Financial Services,7,2,4,310,0,45,7,2,2,1,2,18,1,1,0,5,4,0,0,1,0
Human Resources,1,2,4,1,109,26,1,1,1,0,1,32,7,1,1,5,0,0,0,0,0
Information Technology and Services,7,11,17,18,4,1276,0,1,2,4,12,57,24,17,25,14,3,3,1,7,2
Insurance,2,2,1,15,0,10,83,0,0,0,2,3,1,0,1,1,4,0,0,0,0
Legal Services,0,3,2,2,0,3,0,104,0,0,1,6,2,0,0,3,2,0,0,0,0
"Leisure, Travel & Tourism",0,0,4,1,0,10,1,0,98,0,0,2,1,1,1,0,2,1,0,0,0
Logistics and Supply Chain,5,3,7,2,0,16,0,0,0,89,6,5,0,8,0,2,0,0,1,0,3
Machinery,12,21,23,2,1,27,0,0,2,3,248,7,2,133,2,7,4,0,2,2,7
Management Consulting,3,18,7,14,19,153,2,5,0,2,5,362,36,7,8,16,4,0,3,3,0
Marketing and Advertising,5,9,17,3,2,61,0,0,2,1,3,22,359,5,18,4,2,1,1,0,7
Mechanical or Industrial Engineering,16,14,38,2,1,45,0,0,0,4,83,10,3,341,0,4,0,3,1,0,12
Media Production,0,2,9,4,2,87,0,1,3,0,1,8,58,1,55,4,1,1,0,2,2
Medical Practice,1,4,9,1,0,30,2,1,1,1,14,16,3,14,1,250,1,3,1,0,3
Real Estate,0,18,1,5,0,13,7,1,1,1,3,9,2,1,1,1,171,0,0,0,1
Recreational Facilities and Services,1,5,17,0,2,6,0,0,1,0,11,1,6,4,0,5,0,91,1,0,5
Renewables & Environment,1,9,6,0,0,11,0,0,0,0,17,6,1,12,1,1,0,0,38,0,0
Telecommunications,0,3,13,1,1,42,0,0,0,0,4,6,6,6,4,0,0,1,1,48,1
Wholesale,6,10,36,0,0,17,0,0,0,3,30,1,5,11,2,6,0,11,0,0,94
