,precision,recall,f1-score,support
Automotive,0.5808823529411765,0.49842271293375395,0.5365025466893039,317.0
Construction,0.5151515151515151,0.4844559585492228,0.4993324432576769,386.0
Consumer Goods,0.44672897196261685,0.4723320158102767,0.4591738712776177,506.0
Financial Services,0.7218045112781954,0.6990291262135923,0.7102342786683107,412.0
Human Resources,0.6645161290322581,0.533678756476684,0.5919540229885057,193.0
Information Technology and Services,0.6023145712782746,0.760797342192691,0.6723429242513213,1505.0
Insurance,0.7096774193548387,0.528,0.6055045871559633,125.0
Legal Services,0.8303571428571429,0.7265625,0.7750000000000001,128.0
"Leisure, Travel & Tourism",0.8125,0.7459016393442623,0.7777777777777778,122.0
Logistics and Supply Chain,0.7063492063492064,0.6054421768707483,0.6520146520146519,147.0
Machinery,0.38223938223938225,0.3920792079207921,0.3870967741935484,505.0
Management Consulting,0.49343065693430654,0.5067466266866567,0.5,667.0
Marketing and Advertising,0.6482889733840305,0.6532567049808429,0.650763358778626,522.0
Mechanical or Industrial Engineering,0.4175491679273828,0.4783362218370884,0.4458804523424879,577.0
Media Production,0.40641711229946526,0.3153526970954357,0.35514018691588783,241.0
Medical Practice,0.6438356164383562,0.5280898876404494,0.5802469135802469,356.0
Real Estate,0.764102564102564,0.6313559322033898,0.6914153132250581,236.0
Recreational Facilities and Services,0.5241935483870968,0.4166666666666667,0.46428571428571425,156.0
Renewables & Environment,0.5967741935483871,0.3592233009708738,0.44848484848484854,103.0
Telecommunications,0.525,0.30656934306569344,0.38709677419354843,137.0
Wholesale,0.44,0.33189655172413796,0.37837837837837845,232.0
accuracy,0.5606760860953387,0.5606760860953387,0.5606760860953387,0.5606760860953387
macro avg,0.5920053826412474,0.5225807318658694,0.5508869437361654,7573.0
weighted avg,0.5632264982491623,0.5606760860953387,0.5572749364538983,7573.0
