,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,167,7,22,1,2,28,1,1,0,2,25,10,5,34,2,2,0,1,0,2,5
Construction,5,207,26,3,1,31,0,1,1,3,32,21,11,25,1,3,6,4,1,1,3
Consumer Goods,15,23,253,5,0,53,0,1,2,1,27,13,8,53,1,11,3,10,5,4,18
Financial Services,6,7,6,298,2,38,11,2,1,2,3,11,3,7,2,4,4,0,1,2,2
Human Resources,1,0,3,1,108,27,1,0,0,0,2,38,1,3,3,0,0,1,0,2,2
Information Technology and Services,7,10,28,18,7,1216,4,1,0,6,9,84,25,32,30,10,2,3,2,9,2
Insurance,2,1,4,9,1,18,64,0,1,1,6,9,2,3,0,2,2,0,0,0,0
Legal Services,1,2,0,2,1,8,0,103,0,0,1,6,1,0,0,2,0,1,0,0,0
"Leisure, Travel & Tourism",0,3,2,0,0,6,0,1,91,0,2,4,6,1,0,1,2,3,0,0,0
Logistics and Supply Chain,4,2,3,0,1,14,0,0,0,91,6,5,1,10,4,3,0,1,0,1,1
Machinery,17,18,28,2,1,42,0,1,0,2,219,20,5,113,0,11,0,1,5,3,17
Management Consulting,5,12,7,17,16,158,1,8,0,0,11,362,27,9,11,9,4,1,2,2,5
Marketing and Advertising,5,11,9,3,0,62,0,0,5,3,6,12,364,5,22,4,2,2,0,2,5
Mechanical or Industrial Engineering,16,19,49,2,3,63,0,0,0,2,81,15,4,303,0,7,1,1,1,1,9
Media Production,1,4,9,5,4,71,1,2,2,1,0,10,43,2,75,3,2,2,0,4,0
Medical Practice,1,3,20,2,2,40,4,1,0,1,11,25,3,24,2,206,2,5,0,0,4
Real Estate,0,20,6,10,0,19,1,0,2,2,5,7,1,3,0,1,153,2,2,1,1
Recreational Facilities and Services,0,4,13,1,1,12,1,2,2,1,12,7,5,8,1,4,0,70,1,0,11
Renewables & Environment,2,6,5,2,1,12,0,0,0,0,17,5,1,12,1,1,0,0,37,0,1
Telecommunications,1,3,10,1,0,57,0,0,0,0,3,3,6,6,1,2,1,2,0,40,1
Wholesale,6,11,31,2,3,21,1,0,1,0,19,9,7,18,5,12,2,6,0,0,78
