,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,161,4,18,2,1,68,0,0,0,1,12,10,1,33,0,0,0,3,0,0,3
Construction,0,163,13,0,1,105,0,0,2,0,25,19,7,31,1,5,8,2,0,0,4
Consumer Goods,15,16,194,2,0,110,0,0,0,3,43,5,2,67,6,9,0,8,1,0,25
Financial Services,4,0,1,282,1,69,7,3,1,0,5,16,5,3,3,3,5,0,1,1,2
Human Resources,0,1,1,3,99,44,2,0,0,0,4,24,4,4,0,3,1,1,0,1,1
Information Technology and Services,6,9,25,16,5,1241,1,0,2,4,16,65,28,34,26,8,3,2,1,9,4
Insurance,4,2,1,6,0,31,58,0,0,0,2,9,3,4,0,3,1,1,0,0,0
Legal Services,1,1,1,4,0,15,0,93,0,0,2,8,0,0,0,1,2,0,0,0,0
"Leisure, Travel & Tourism",0,1,3,0,0,24,0,0,86,0,1,0,1,1,0,1,2,2,0,0,0
Logistics and Supply Chain,4,3,3,1,0,33,0,0,1,81,2,3,1,5,2,3,0,0,1,0,4
Machinery,11,16,23,0,1,99,0,0,1,3,187,16,4,116,1,5,2,3,5,2,10
Management Consulting,0,5,11,14,15,198,3,5,0,3,15,331,30,12,5,12,4,1,0,3,0
Marketing and Advertising,0,10,10,2,0,109,0,0,3,1,1,20,327,6,19,2,2,3,1,4,2
Mechanical or Industrial Engineering,14,15,30,2,0,122,0,0,0,0,74,6,4,288,0,11,0,2,1,1,7
Media Production,0,2,6,2,2,96,0,2,2,1,1,6,64,7,44,3,0,0,0,1,2
Medical Practice,1,2,15,1,3,95,1,1,0,2,18,11,3,21,0,173,1,6,0,0,2
Real Estate,0,13,4,3,0,59,1,0,0,2,4,11,3,3,0,1,131,0,0,0,1
Recreational Facilities and Services,0,2,11,0,0,52,0,0,1,0,11,3,4,10,1,4,1,46,0,0,10
Renewables & Environment,0,3,7,2,0,21,0,0,0,0,10,6,0,15,0,1,0,0,38,0,0
Telecommunications,0,0,8,2,0,68,0,1,0,0,5,8,5,7,1,1,0,0,0,30,1
Wholesale,3,9,31,2,0,61,0,0,0,2,23,0,5,20,3,4,0,4,0,0,65
