feature,value
gebäudetechnik,0.0006720076780766249
großhändler,0.0006018735002726316
softwarelösungen,0.0005184349720366299
kommunikationslösungen,0.00046963151544332504
mobilität,0.0004163592529948801
organisaties,0.00037329565384425223
fertigt,0.00036830257158726454
günstig,0.0003611301362980157
abgesichert,0.0003531218972057104
bürobedarf,0.00035304485936649144
aufzüge,0.0003490077215246856
unterstützen,0.000333445321302861
natürliche,0.0003288091975264251
führungskräfte,0.0003281043900642544
gebäudeautomation,0.0003267101419623941
unabhängige,0.00032465136609971523
construcción,0.0003068300720769912
sanitär,0.00028107594698667526
network,0.00027284983661957085
büro,0.00027275990578345954
zubehör,0.0002621404710225761
fräsen,0.00025030848337337375
markenführung,0.00024336602655239403
spezialitäten,0.00024292404123116285
süßwaren,0.00023838593915570527
präzision,0.0002348137932131067
umzugsservice,0.00023408218112308532
bürotechnik,0.00023318421153817326
orthesen,0.00023300985048990697
nähe,0.00022962511866353452
delicious,0.000225158451939933
ernährung,0.0002238763845525682
confiserie,0.00022239198733586818
systemlösungen,0.00021904103050474077
20,0.0002152100787498057
unterstützt,0.00021146626386325806
marktführer,0.00020894900080747902
blechtechnik,0.0002088057663058862
beratungsgesellschaft,0.00020232521637808532
automatisierungslösungen,0.00020230123482178897
produces,0.0002020834945142269
lebensqualität,0.00020083128765691072
bauträger,0.00019869909738190472
ä¼,0.0001931906444951892
tischlerei,0.00019090514979325235
umformtechnik,0.00019011592667084187
gewürze,0.0001899103372124955
ausführung,0.00018906824698206037
rechtsanwälte,0.000187227749847807
qualität,0.00018722102686297148
scaffolding,0.0001800666650524363
crossfit,0.00017911550821736455
zuverlässiger,0.00017748917161952704
chirurgie,0.00017438230861444026
heizöl,0.00017403838864993304
automobilhersteller,0.00017262724577449262
berät,0.00017153701628558338
management,0.0001707491755951196
wärmepumpen,0.00016986830451060086
la,0.00016673171194270253
eigenmarken,0.0001664088777033612
technologieführer,0.00016480663907714188
lösungen,0.00016344133473467082
på,0.00016097119078040123
fenstern,0.00015970233653206378
fachgeschäft,0.00015844297013245523
kälte,0.00015703969984315336
hebebühnen,0.00015450789942406118
europäischen,0.00015280269144568592
erneuerbarer,0.000152798107592389
sensorik,0.00015252901357598603
it,0.00015204628289211541
gemüse,0.0001518770441180095
attorneys,0.0001512525195721537
breitband,0.00014771886344533414
beratung,0.0001472140138503164
sonderlösungen,0.00014659727457910776
cloud,0.0001462675427319482
beers,0.00014321156777441502
wärme,0.00014288153033703566
maschinentechnik,0.00014211169036570936
wirtgen,0.00014059901877772063
erfahrung,0.00014040998939890414
händler,0.00013964876416139305
implantate,0.0001388255477650091
güter,0.00013814189878758043
publicidad,0.000136780712637119
endoskopie,0.00013661154662258923
ka,0.00013502442743629217
versicherungslösungen,0.00013490764831658453
creativa,0.00013461578055284917
nfc,0.0001345442287856713
banque,0.0001327596983173862
tecnología,0.00013271570787765086
us,0.00012995416182093322
bhkw,0.0001286559709114954
logopa,0.0001275493996217847
projektentwickler,0.00012612793943844736
softwarelösung,0.00012602093920577317
veículos,0.00012361259723547846
transformers,0.00012335111387073994
gebäudeausrüstung,0.00012136493751313537
imóveis,0.00012098399747628719
krankenhäuser,0.00012083456385880709
marketing,0.00012058288848493248
muito,0.00011976423411397263
medicines,0.00011800338688772172
österreich,0.00011755634477594867
qualitätsführer,0.00011697453010128811
elektroplanung,0.00011695784633047879
liquidität,0.0001162118642241694
versicherungs,0.00011613732931436971
führenden,0.00011345580423949286
medienproduktion,0.00011218077997909859
betriebsführung,0.00011142503353767097
möglichkeiten,0.00011095690570073202
director,0.00010965018009301275
compte,0.00010964441753458232
wirtschaftsprüfungsgesellschaft,0.00010802139877341688
über,0.0001072111917892471
anwa,0.00010592295438982546
auto,0.0001052325897035189
vermögensverwalter,0.00010456699965288863
schalter,0.00010454727453179657
kontakt,0.0001043719457811676
stromspeicher,0.00010373684926889837
energielösungen,0.0001033772568916902
biomasse,0.00010274748638039455
märkten,0.00010152612958336249
19,0.00010053672303911299
öl,9.965647041099146e-05
federn,9.842982399277389e-05
nova,9.823380969464779e-05
größten,9.781822154764086e-05
minerals,9.769453754415736e-05
produkte,9.692135063232854e-05
service,9.669674909673631e-05
austria,9.596093150321394e-05
mehr,9.591721754986793e-05
publicis,9.524546476313844e-05
familienurlaub,9.25369604374282e-05
steuererklärung,9.208514529746026e-05
mediaplus,9.16211138246581e-05
warnung,9.140159090748057e-05
transportlösungen,9.137600136455148e-05
haftpflicht,8.999853889690712e-05
haustüren,8.98467842489481e-05
groã,8.965482993517071e-05
pflegedienst,8.929830801207572e-05
gäste,8.905427239369601e-05
logística,8.765748498262838e-05
zuverlässigkeit,8.687750960234553e-05
hallenbau,8.666486974107102e-05
fã¼r,8.63032037159428e-05
¼ã,8.619259460829198e-05
geschäftskunden,8.431979949818924e-05
ko,8.402616367675364e-05
notare,8.378443453693762e-05
lösung,8.37219413369894e-05
des,8.371585863642395e-05
führende,8.316455932799727e-05
öffentliche,8.182563760783523e-05
topangebote,8.087779860943556e-05
