,precision,recall,f1-score,support
Automotive,0.7357142857142858,0.6498422712933754,0.6901172529313233,317.0
Construction,0.6014669926650367,0.6373056994818653,0.618867924528302,386.0
Consumer Goods,0.5507518796992481,0.5790513833992095,0.5645472061657033,506.0
Financial Services,0.763855421686747,0.7694174757281553,0.7666263603385732,412.0
Human Resources,0.7361963190184049,0.6217616580310881,0.6741573033707865,193.0
Information Technology and Services,0.7,0.813953488372093,0.7526881720430109,1505.0
Insurance,0.7980769230769231,0.664,0.7248908296943232,125.0
Legal Services,0.88,0.859375,0.8695652173913043,128.0
"Leisure, Travel & Tourism",0.824,0.8442622950819673,0.8340080971659919,122.0
Logistics and Supply Chain,0.7862595419847328,0.7006802721088435,0.7410071942446043,147.0
Machinery,0.48823529411764705,0.49306930693069306,0.49064039408866994,505.0
Management Consulting,0.5962145110410094,0.5667166416791605,0.5810914681014604,667.0
Marketing and Advertising,0.7142857142857143,0.7375478927203065,0.7257304429783223,522.0
Mechanical or Industrial Engineering,0.5198098256735341,0.5684575389948007,0.543046357615894,577.0
Media Production,0.4632768361581921,0.34024896265560167,0.3923444976076555,241.0
Medical Practice,0.7442528735632183,0.7275280898876404,0.7357954545454545,356.0
Real Estate,0.8472906403940886,0.7288135593220338,0.7835990888382688,236.0
Recreational Facilities and Services,0.65,0.5833333333333334,0.6148648648648649,156.0
Renewables & Environment,0.7101449275362319,0.47572815533980584,0.5697674418604651,103.0
Telecommunications,0.6333333333333333,0.41605839416058393,0.5022026431718061,137.0
Wholesale,0.5454545454545454,0.46551724137931033,0.5023255813953489,232.0
accuracy,0.6554865971213522,0.6554865971213522,0.6554865971213522,0.6554865971213522
macro avg,0.6804104697810902,0.6306032695190413,0.6513277996639111,7573.0
weighted avg,0.6555279182990017,0.6554865971213522,0.6527883588012203,7573.0
