,precision,recall,f1-score,support
Automotive,0.684931506849315,0.6309148264984227,0.6568144499178982,317.0
Construction,0.6095717884130982,0.6269430051813472,0.6181353767560664,386.0
Consumer Goods,0.5115384615384615,0.525691699604743,0.5185185185185184,506.0
Financial Services,0.798469387755102,0.7597087378640777,0.7786069651741292,412.0
Human Resources,0.7254901960784313,0.5751295336787565,0.6416184971098267,193.0
Information Technology and Services,0.6467308667004562,0.8478405315614618,0.7337550316273721,1505.0
Insurance,0.7727272727272727,0.68,0.7234042553191491,125.0
Legal Services,0.8888888888888888,0.8125,0.8489795918367347,128.0
"Leisure, Travel & Tourism",0.8918918918918919,0.8114754098360656,0.849785407725322,122.0
Logistics and Supply Chain,0.7982456140350878,0.6190476190476191,0.6973180076628352,147.0
Machinery,0.4883268482490272,0.497029702970297,0.492639842983317,505.0
Management Consulting,0.6080402010050251,0.5442278860569715,0.5743670886075949,667.0
Marketing and Advertising,0.6860902255639098,0.6992337164750958,0.6925996204933587,522.0
Mechanical or Industrial Engineering,0.5174506828528073,0.5909878682842288,0.551779935275081,577.0
Media Production,0.49295774647887325,0.29045643153526973,0.36553524804177545,241.0
Medical Practice,0.7798165137614679,0.7162921348314607,0.746705710102489,356.0
Real Estate,0.8308457711442786,0.7076271186440678,0.7643020594965675,236.0
Recreational Facilities and Services,0.6893939393939394,0.5833333333333334,0.6319444444444444,156.0
Renewables & Environment,0.65,0.3786407766990291,0.47852760736196326,103.0
Telecommunications,0.7777777777777778,0.35766423357664234,0.49000000000000005,137.0
Wholesale,0.592814371257485,0.4267241379310345,0.4962406015037593,232.0
accuracy,0.643998415423214,0.643998415423214,0.643998415423214,0.643998415423214
macro avg,0.6877142834458381,0.6038794620766631,0.6357894409503906,7573.0
weighted avg,0.6483631412481263,0.643998415423214,0.6390599575557332,7573.0
