,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,206,2,13,3,2,23,0,0,0,3,12,9,9,27,0,1,0,1,0,1,5
Construction,1,250,21,2,0,26,0,0,3,1,28,15,5,19,0,1,8,1,1,0,4
Consumer Goods,14,10,266,6,0,52,0,1,0,0,38,8,5,60,3,4,2,12,5,4,16
Financial Services,6,1,7,304,1,38,12,3,1,1,3,22,1,3,1,3,3,2,0,0,0
Human Resources,0,1,1,1,119,24,1,1,0,0,2,27,10,2,0,4,0,0,0,0,0
Information Technology and Services,9,4,23,15,6,1269,0,0,1,5,6,56,30,16,28,15,3,4,0,12,3
Insurance,3,0,2,13,0,8,85,0,0,0,2,4,2,1,1,2,2,0,0,0,0
Legal Services,0,1,2,8,0,1,0,105,0,0,1,5,2,0,0,2,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,1,1,0,9,0,0,97,0,0,2,2,1,1,0,1,6,0,0,0
Logistics and Supply Chain,5,3,7,3,0,14,0,0,0,96,3,5,3,5,0,0,0,0,1,0,2
Machinery,11,23,16,1,0,24,0,0,1,2,266,11,3,121,0,4,3,0,3,1,15
Management Consulting,5,14,8,10,19,159,2,5,0,2,7,376,30,4,6,9,4,2,2,2,1
Marketing and Advertising,4,10,14,3,1,52,0,0,2,1,2,19,366,3,28,2,3,5,0,1,6
Mechanical or Industrial Engineering,16,15,44,2,1,54,0,0,0,2,94,10,1,321,0,2,0,2,1,2,10
Media Production,0,2,14,5,1,85,0,1,4,0,0,7,44,0,72,1,0,1,0,1,3
Medical Practice,0,3,13,0,0,35,2,0,0,1,15,13,2,11,1,254,2,2,1,0,1
Real Estate,1,18,1,7,0,14,5,0,3,1,2,7,3,4,0,2,167,1,0,0,0
Recreational Facilities and Services,0,1,14,1,1,10,0,0,2,0,5,3,7,5,0,6,0,89,3,0,9
Renewables & Environment,1,9,4,0,0,10,0,0,0,1,17,3,0,13,0,0,0,0,45,0,0
Telecommunications,0,4,16,2,1,49,0,0,0,0,3,7,2,3,0,1,0,1,1,46,1
Wholesale,6,13,39,1,0,10,0,0,0,2,26,0,8,16,3,5,0,9,0,1,93
