,precision,recall,f1-score,support
Automotive,0.738255033557047,0.694006309148265,0.7154471544715447,317.0
Construction,0.6590330788804071,0.6709844559585493,0.6649550706033376,386.0
Consumer Goods,0.6090373280943026,0.6126482213438735,0.6108374384236452,506.0
Financial Services,0.8158567774936062,0.7742718446601942,0.7945205479452054,412.0
Human Resources,0.7329192546583851,0.6113989637305699,0.6666666666666667,193.0
Information Technology and Services,0.6850053937432579,0.8438538205980066,0.7561774337600478,1505.0
Insurance,0.8173076923076923,0.68,0.7423580786026202,125.0
Legal Services,0.9147286821705426,0.921875,0.9182879377431907,128.0
"Leisure, Travel & Tourism",0.8947368421052632,0.8360655737704918,0.864406779661017,122.0
Logistics and Supply Chain,0.7886178861788617,0.6598639455782312,0.7185185185185183,147.0
Machinery,0.5465587044534413,0.5346534653465347,0.5405405405405405,505.0
Management Consulting,0.6219512195121951,0.6116941529235382,0.6167800453514739,667.0
Marketing and Advertising,0.6876122082585279,0.7337164750957854,0.7099165894346617,522.0
Mechanical or Industrial Engineering,0.5465465465465466,0.6308492201039861,0.5856798069187451,577.0
Media Production,0.5273972602739726,0.31950207468879666,0.3979328165374677,241.0
Medical Practice,0.7907692307692308,0.7219101123595506,0.7547723935389135,356.0
Real Estate,0.8640776699029126,0.7542372881355932,0.8054298642533937,236.0
Recreational Facilities and Services,0.7,0.6282051282051282,0.6621621621621621,156.0
Renewables & Environment,0.75,0.46601941747572817,0.5748502994011976,103.0
Telecommunications,0.684931506849315,0.36496350364963503,0.4761904761904763,137.0
Wholesale,0.6941176470588235,0.5086206896551724,0.5870646766169154,232.0
accuracy,0.6799154892380826,0.6799154892380826,0.6799154892380826,0.6799154892380826
macro avg,0.7175933315625871,0.6466352220203634,0.6744521570162734,7573.0
weighted avg,0.6824830121203611,0.6799154892380826,0.6760240278867633,7573.0
