,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,220,1,9,1,2,13,0,0,0,2,19,11,4,27,0,0,0,2,0,2,4
Construction,1,259,20,2,1,24,0,0,1,2,22,12,9,18,0,2,4,0,4,2,3
Consumer Goods,12,21,310,3,3,46,0,1,1,0,24,6,7,39,3,8,1,10,2,1,8
Financial Services,8,4,3,319,1,33,10,1,1,1,1,17,1,2,1,4,2,1,0,1,1
Human Resources,0,2,2,1,118,18,1,0,0,0,1,38,4,2,1,3,0,1,1,0,0
Information Technology and Services,7,7,16,17,5,1270,0,3,2,5,11,68,31,15,25,9,3,4,1,6,0
Insurance,1,1,1,16,0,10,85,0,0,0,0,6,0,2,1,1,1,0,0,0,0
Legal Services,0,0,1,4,0,2,0,118,0,0,0,1,0,0,0,0,2,0,0,0,0
"Leisure, Travel & Tourism",0,0,1,0,0,7,0,0,102,0,1,2,3,1,0,0,1,4,0,0,0
Logistics and Supply Chain,5,2,4,0,0,13,0,0,0,97,4,5,0,8,1,3,0,0,1,1,3
Machinery,9,21,12,0,0,28,0,0,0,3,270,8,5,121,0,6,2,3,3,2,12
Management Consulting,3,16,8,9,24,124,3,5,0,2,5,408,25,6,8,10,4,1,2,3,1
Marketing and Advertising,3,9,9,1,1,47,0,0,1,2,2,23,383,5,25,3,2,1,0,1,4
Mechanical or Industrial Engineering,18,16,30,1,1,37,0,0,0,3,72,13,2,364,1,4,3,3,1,0,8
Media Production,0,2,8,4,2,73,0,1,3,1,0,6,51,2,77,2,2,0,0,4,3
Medical Practice,3,3,12,0,1,25,3,0,0,1,8,16,5,15,0,257,0,6,1,0,0
Real Estate,0,21,3,8,0,11,2,0,0,2,1,3,4,3,0,0,178,0,0,0,0
Recreational Facilities and Services,1,1,8,0,1,11,0,0,3,1,8,1,8,6,0,7,0,98,0,0,2
Renewables & Environment,1,2,4,2,0,7,0,0,0,0,17,3,2,16,0,0,0,0,48,0,1
Telecommunications,0,2,14,2,1,46,0,0,0,0,3,3,8,4,2,0,0,0,0,50,2
Wholesale,6,3,34,1,0,9,0,0,0,1,25,6,5,10,1,6,1,6,0,0,118
