,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,196,1,15,4,2,28,1,0,0,3,20,10,5,25,1,0,0,2,0,0,4
Construction,4,241,13,2,2,41,0,0,2,2,25,14,3,18,0,4,10,0,3,1,1
Consumer Goods,14,15,238,3,0,84,0,0,1,0,36,9,5,57,5,6,1,8,3,4,17
Financial Services,7,1,6,300,0,49,9,1,2,1,1,20,4,2,1,3,4,0,0,1,0
Human Resources,1,3,1,1,112,26,0,1,2,0,2,33,7,1,0,3,0,0,0,0,0
Information Technology and Services,9,7,16,10,4,1266,1,1,2,7,10,71,33,16,29,10,2,2,2,5,2
Insurance,1,0,0,17,0,18,78,0,0,0,1,3,1,1,0,3,2,0,0,0,0
Legal Services,0,0,1,7,1,5,0,104,0,0,1,5,0,0,1,2,1,0,0,0,0
"Leisure, Travel & Tourism",1,1,2,1,1,10,0,0,96,0,1,1,1,1,0,0,1,5,0,0,0
Logistics and Supply Chain,6,0,7,3,0,21,1,0,0,89,6,6,2,3,0,1,0,0,0,0,2
Machinery,14,22,18,1,1,47,1,0,0,3,253,8,4,111,0,3,2,0,3,0,14
Management Consulting,3,10,7,12,20,159,3,5,1,3,8,367,30,8,6,13,5,3,2,1,1
Marketing and Advertising,6,10,10,3,0,84,0,0,1,2,1,24,344,2,20,4,3,3,0,2,3
Mechanical or Industrial Engineering,16,17,37,1,1,62,0,0,0,3,99,12,3,304,0,5,0,3,2,1,11
Media Production,0,2,14,1,1,83,0,1,2,0,1,8,58,1,60,2,0,2,0,1,4
Medical Practice,1,2,17,1,1,45,3,0,0,2,14,17,3,20,1,225,0,3,0,0,1
Real Estate,0,16,1,5,0,25,5,0,1,1,2,5,1,1,0,4,168,1,0,0,0
Recreational Facilities and Services,0,3,13,1,2,19,0,0,1,0,15,4,6,4,2,7,0,70,1,0,8
Renewables & Environment,1,7,3,1,0,14,0,0,0,1,17,2,0,17,1,0,0,0,39,0,0
Telecommunications,0,3,11,2,1,56,0,0,0,0,4,5,5,6,1,0,0,1,1,40,1
Wholesale,4,9,40,2,1,18,0,0,0,3,21,4,10,22,1,4,0,7,1,0,85
