,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,219,3,8,3,2,11,0,0,0,1,20,8,6,25,1,1,0,3,1,1,4
Construction,3,244,19,2,2,20,0,1,2,1,30,13,10,18,1,2,6,1,3,1,7
Consumer Goods,13,19,296,5,1,40,0,1,1,0,28,8,5,38,7,9,0,10,3,3,19
Financial Services,7,6,7,317,0,30,15,1,1,0,1,14,3,0,1,3,2,1,0,2,1
Human Resources,0,1,1,1,123,15,1,0,0,0,1,34,5,3,4,2,0,1,0,0,1
Information Technology and Services,9,6,27,21,5,1218,0,2,5,8,6,80,31,13,45,11,3,3,1,7,4
Insurance,2,3,1,13,0,6,86,0,0,0,1,4,3,1,0,2,2,0,0,0,1
Legal Services,0,0,3,4,0,3,0,114,0,0,1,1,0,0,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,2,0,1,4,0,0,101,0,1,1,2,1,0,0,2,6,0,0,0
Logistics and Supply Chain,5,2,5,0,0,9,1,0,0,96,8,6,0,6,1,2,0,0,1,1,4
Machinery,16,21,15,2,1,28,0,0,0,2,252,5,4,120,1,8,3,1,4,0,22
Management Consulting,3,15,8,12,25,123,3,5,0,1,8,396,21,7,12,16,4,0,2,4,2
Marketing and Advertising,2,14,8,1,1,33,0,0,1,2,2,18,398,4,30,2,0,2,0,1,3
Mechanical or Industrial Engineering,21,17,34,2,1,34,0,0,0,3,77,9,2,344,1,5,3,3,3,1,17
Media Production,1,1,8,4,2,72,0,1,2,1,1,6,44,2,83,2,3,1,0,4,3
Medical Practice,2,4,12,0,1,25,3,0,0,1,8,14,6,14,1,256,1,6,1,0,1
Real Estate,1,16,3,8,1,11,2,1,0,3,1,3,4,2,1,1,177,1,0,0,0
Recreational Facilities and Services,0,3,9,0,1,7,0,0,2,0,8,3,10,5,1,7,0,95,1,0,4
Renewables & Environment,2,3,6,1,0,5,0,0,0,0,11,4,1,15,1,0,0,0,52,0,2
Telecommunications,1,1,13,1,1,42,0,0,0,1,6,4,8,3,2,0,0,0,1,49,4
Wholesale,4,5,34,1,0,10,0,0,1,2,17,2,5,12,1,8,1,7,0,0,122
