,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,197,2,12,3,2,34,0,0,0,2,15,10,5,26,1,0,0,1,0,0,7
Construction,2,246,17,1,1,26,1,0,3,4,32,10,9,17,0,1,9,1,3,0,3
Consumer Goods,15,12,262,3,0,59,0,0,0,0,39,7,5,55,2,7,2,14,5,1,18
Financial Services,5,2,7,308,1,43,12,2,2,0,1,19,2,1,1,3,2,1,0,0,0
Human Resources,1,0,0,2,115,25,0,0,0,0,2,31,9,4,0,3,0,1,0,0,0
Information Technology and Services,7,6,19,17,4,1266,1,2,2,7,5,62,32,14,27,13,4,4,1,8,4
Insurance,1,0,2,15,0,11,83,0,0,0,0,3,2,1,0,3,4,0,0,0,0
Legal Services,0,1,2,6,0,0,0,107,0,0,0,6,1,0,1,2,2,0,0,0,0
"Leisure, Travel & Tourism",0,1,1,1,0,7,2,0,98,0,0,1,2,1,1,0,1,6,0,0,0
Logistics and Supply Chain,4,5,6,3,0,14,0,0,0,94,2,5,3,8,0,0,0,0,1,0,2
Machinery,9,22,25,2,0,31,0,0,1,4,264,7,3,118,2,3,3,1,3,0,7
Management Consulting,3,16,7,16,17,150,3,7,0,1,8,374,27,4,7,15,7,0,2,2,1
Marketing and Advertising,6,13,20,2,1,59,0,0,2,1,2,22,353,5,25,4,2,1,0,0,4
Mechanical or Industrial Engineering,15,11,38,1,1,47,0,0,0,5,98,10,2,328,0,4,0,4,1,0,12
Media Production,0,1,14,4,2,87,0,1,4,0,1,8,48,0,64,3,0,1,0,2,1
Medical Practice,0,4,14,0,0,34,1,0,0,1,14,13,5,14,0,253,0,2,1,0,0
Real Estate,0,18,2,5,0,19,4,0,2,1,1,9,2,2,0,4,166,0,0,0,1
Recreational Facilities and Services,0,4,13,1,1,9,0,0,1,0,5,4,9,4,2,5,0,86,3,1,8
Renewables & Environment,1,11,6,0,0,12,0,0,0,0,15,0,1,11,1,0,0,0,44,1,0
Telecommunications,0,5,16,1,1,46,0,0,0,0,4,8,6,3,2,0,0,0,1,43,1
Wholesale,4,9,40,0,0,15,0,0,0,2,21,1,8,18,1,6,0,9,0,1,97
