,precision,recall,f1-score,support
Automotive,0.3836477987421384,0.19242902208201892,0.25630252100840334,317.0
Construction,0.2722222222222222,0.12694300518134716,0.17314487632508835,386.0
Consumer Goods,0.24919093851132687,0.15217391304347827,0.18895705521472392,506.0
Financial Services,0.4366812227074236,0.24271844660194175,0.31201248049922,412.0
Human Resources,0.32941176470588235,0.14507772020725387,0.20143884892086328,193.0
Information Technology and Services,0.26183259501049194,0.7461794019933555,0.38764238867794265,1505.0
Insurance,0.3829787234042553,0.144,0.20930232558139533,125.0
Legal Services,0.6,0.2578125,0.36065573770491804,128.0
"Leisure, Travel & Tourism",0.52,0.21311475409836064,0.3023255813953488,122.0
Logistics and Supply Chain,0.30952380952380953,0.17687074829931973,0.22510822510822512,147.0
Machinery,0.22807017543859648,0.15445544554455445,0.18417945690672965,505.0
Management Consulting,0.29069767441860467,0.1874062968515742,0.22789425706472194,667.0
Marketing and Advertising,0.3219178082191781,0.18007662835249041,0.23095823095823095,522.0
Mechanical or Industrial Engineering,0.24278846153846154,0.17504332755632582,0.20342396777442096,577.0
Media Production,0.18681318681318682,0.07053941908713693,0.10240963855421688,241.0
Medical Practice,0.2692307692307692,0.11797752808988764,0.16406249999999997,356.0
Real Estate,0.46774193548387094,0.2457627118644068,0.3222222222222222,236.0
Recreational Facilities and Services,0.23684210526315788,0.057692307692307696,0.09278350515463919,156.0
Renewables & Environment,0.36,0.08737864077669903,0.140625,103.0
Telecommunications,0.14285714285714285,0.043795620437956206,0.0670391061452514,137.0
Wholesale,0.2153846153846154,0.1206896551724138,0.15469613259668508,232.0
accuracy,0.2783573220652317,0.2783573220652317,0.2783573220652317,0.2783573220652317
macro avg,0.3194206166416731,0.18276843299680137,0.21462781227682126,7573.0
weighted avg,0.29525529607310497,0.2783573220652317,0.24467712688275756,7573.0
