,precision,recall,f1-score,support
Automotive,0.6419753086419753,0.1640378548895899,0.2613065326633166,317.0
Construction,0.3372093023255814,0.07512953367875648,0.1228813559322034,386.0
Consumer Goods,0.35714285714285715,0.10869565217391304,0.16666666666666666,506.0
Financial Services,0.5808823529411765,0.19174757281553398,0.28832116788321166,412.0
Human Resources,0.4528301886792453,0.12435233160621761,0.1951219512195122,193.0
Information Technology and Services,0.2289405684754522,0.8830564784053156,0.3636114911080711,1505.0
Insurance,0.48148148148148145,0.104,0.17105263157894735,125.0
Legal Services,0.625,0.1953125,0.2976190476190476,128.0
"Leisure, Travel & Tourism",0.6666666666666666,0.18032786885245902,0.2838709677419355,122.0
Logistics and Supply Chain,0.5365853658536586,0.14965986394557823,0.23404255319148937,147.0
Machinery,0.36054421768707484,0.10495049504950495,0.16257668711656442,505.0
Management Consulting,0.39826839826839827,0.13793103448275862,0.20489977728285078,667.0
Marketing and Advertising,0.4626865671641791,0.1781609195402299,0.2572614107883818,522.0
Mechanical or Industrial Engineering,0.292,0.1265164644714038,0.17654171704957677,577.0
Media Production,0.3157894736842105,0.04979253112033195,0.08602150537634408,241.0
Medical Practice,0.4810126582278481,0.10674157303370786,0.1747126436781609,356.0
Real Estate,0.6451612903225806,0.1694915254237288,0.2684563758389262,236.0
Recreational Facilities and Services,0.3125,0.03205128205128205,0.05813953488372092,156.0
Renewables & Environment,0.2777777777777778,0.04854368932038835,0.08264462809917356,103.0
Telecommunications,0.21052631578947367,0.029197080291970802,0.05128205128205128,137.0
Wholesale,0.17857142857142858,0.04310344827586207,0.06944444444444445,232.0
accuracy,0.273999735903869,0.273999735903869,0.273999735903869,0.273999735903869
macro avg,0.42112153427147936,0.1525142714013587,0.1893559591164094,7573.0
weighted avg,0.38175320076265173,0.273999735903869,0.22299261856611763,7573.0
