,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,62,6,13,8,4,166,1,0,1,1,12,11,6,18,1,2,0,0,1,2,2
Construction,7,51,14,8,5,203,1,1,3,4,29,20,4,14,2,5,7,2,0,0,6
Consumer Goods,13,10,92,10,2,240,1,0,0,2,24,19,10,37,4,12,4,3,1,4,18
Financial Services,4,7,9,106,2,207,4,0,0,2,13,22,8,9,4,4,5,2,0,3,1
Human Resources,0,10,3,2,29,90,0,2,2,1,5,17,10,10,2,4,4,0,0,1,1
Information Technology and Services,13,18,26,25,7,1139,2,3,4,6,35,80,41,47,13,16,7,5,1,4,13
Insurance,1,4,6,9,2,70,17,0,1,0,1,5,3,1,0,2,0,0,0,1,2
Legal Services,2,2,2,6,0,56,0,37,0,1,0,11,0,4,1,1,4,1,0,0,0
"Leisure, Travel & Tourism",0,3,3,1,1,55,0,1,27,1,6,3,6,5,2,2,3,3,0,0,0
Logistics and Supply Chain,2,3,4,1,1,82,0,0,1,28,3,4,3,7,2,3,0,0,2,0,1
Machinery,3,10,20,7,1,258,2,1,2,0,79,13,4,69,4,6,4,0,5,3,14
Management Consulting,4,4,13,10,12,368,2,6,2,4,16,148,29,24,3,5,6,3,1,1,6
Marketing and Advertising,3,10,12,6,0,303,2,1,3,4,12,26,101,16,5,6,4,2,0,2,4
Mechanical or Industrial Engineering,15,16,23,3,2,282,2,2,3,5,48,28,9,108,4,10,3,1,2,2,9
Media Production,2,0,7,1,2,152,1,0,0,0,8,12,22,7,19,1,3,1,2,0,1
Medical Practice,5,6,18,11,4,177,1,1,1,0,12,19,11,23,7,50,3,2,0,0,5
Real Estate,1,6,6,13,2,120,2,0,1,0,5,5,8,2,0,4,57,0,0,0,4
Recreational Facilities and Services,0,1,8,4,0,97,1,0,0,2,4,3,7,5,1,7,1,10,0,0,5
Renewables & Environment,4,2,2,3,0,59,0,0,0,0,6,5,3,10,0,1,0,0,8,0,0
Telecommunications,3,5,7,1,0,92,1,0,0,0,6,2,5,3,1,3,0,0,0,6,2
Wholesale,2,5,22,2,1,114,1,0,1,2,11,5,8,17,2,3,2,4,1,1,28
