,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,52,2,7,1,2,228,1,0,2,1,3,4,3,9,0,1,0,0,0,0,1
Construction,0,29,9,2,3,297,0,0,2,1,6,6,6,11,2,2,5,2,0,1,2
Consumer Goods,4,4,55,5,0,370,0,2,0,1,11,6,3,22,2,3,2,1,2,2,11
Financial Services,0,3,2,79,0,288,4,3,0,0,3,10,5,7,1,1,4,0,0,0,2
Human Resources,1,6,0,1,24,132,1,1,1,0,1,11,3,6,0,4,0,0,0,1,0
Information Technology and Services,5,7,15,13,5,1329,3,2,0,2,13,43,20,22,7,6,2,1,1,6,3
Insurance,2,2,2,3,1,98,13,0,0,0,0,1,1,1,0,0,1,0,0,0,0
Legal Services,0,2,1,5,0,87,0,25,0,0,1,3,1,0,1,1,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,1,2,2,75,0,0,22,0,2,5,6,0,0,2,1,3,0,0,0
Logistics and Supply Chain,1,0,3,0,0,107,0,0,0,22,0,2,0,5,1,2,0,1,1,1,1
Machinery,5,3,5,3,1,357,1,0,0,4,53,6,6,43,1,3,2,0,3,0,9
Management Consulting,1,3,1,6,9,501,1,7,1,1,7,92,13,11,2,3,2,0,0,3,3
Marketing and Advertising,2,4,1,1,3,388,0,0,3,1,5,12,93,2,1,3,1,0,0,1,1
Mechanical or Industrial Engineering,5,5,11,2,2,433,1,0,0,2,21,5,3,73,3,3,1,0,3,0,4
Media Production,0,1,1,1,0,187,1,0,1,2,3,4,25,1,12,1,0,0,1,0,0
Medical Practice,0,1,10,2,1,267,1,0,0,1,3,7,6,13,0,38,0,1,2,0,3
Real Estate,1,8,0,5,0,164,0,0,1,1,0,8,0,3,1,2,40,0,0,0,2
Recreational Facilities and Services,0,0,8,2,0,127,0,0,0,0,2,0,2,5,0,1,0,5,0,0,4
Renewables & Environment,0,1,1,0,0,84,0,0,0,0,5,0,2,5,0,0,0,0,5,0,0
Telecommunications,0,0,2,0,0,118,0,0,0,0,5,1,1,4,2,0,0,0,0,4,0
Wholesale,2,4,19,3,0,168,0,0,0,2,3,5,2,7,2,3,0,2,0,0,10
