,precision,recall,f1-score,support
Automotive,0.797945205479452,0.7350157728706624,0.7651888341543515,317.0
Construction,0.6642156862745098,0.7020725388601037,0.6826196473551637,386.0
Consumer Goods,0.6035502958579881,0.6047430830039525,0.6041461006910167,506.0
Financial Services,0.8025,0.779126213592233,0.7906403940886699,412.0
Human Resources,0.7810650887573964,0.6839378238341969,0.7292817679558011,193.0
Information Technology and Services,0.6903607969843835,0.8518272425249169,0.7626412849494348,1505.0
Insurance,0.8125,0.728,0.7679324894514769,125.0
Legal Services,0.9090909090909091,0.9375,0.923076923076923,128.0
"Leisure, Travel & Tourism",0.8347107438016529,0.8278688524590164,0.8312757201646092,122.0
Logistics and Supply Chain,0.7984496124031008,0.7006802721088435,0.746376811594203,147.0
Machinery,0.5621052631578948,0.5287128712871287,0.5448979591836735,505.0
Management Consulting,0.6722689075630253,0.5997001499250375,0.6339144215530904,667.0
Marketing and Advertising,0.7099099099099099,0.7547892720306514,0.7316620241411328,522.0
Mechanical or Industrial Engineering,0.5673652694610778,0.6568457538994801,0.6088353413654618,577.0
Media Production,0.5223880597014925,0.29045643153526973,0.3733333333333333,241.0
Medical Practice,0.8047337278106509,0.7640449438202247,0.7838616714697406,356.0
Real Estate,0.8725490196078431,0.7542372881355932,0.8090909090909091,236.0
Recreational Facilities and Services,0.6987179487179487,0.6987179487179487,0.6987179487179487,156.0
Renewables & Environment,0.7638888888888888,0.5339805825242718,0.6285714285714286,103.0
Telecommunications,0.726027397260274,0.38686131386861317,0.5047619047619047,137.0
Wholesale,0.6477272727272727,0.49137931034482757,0.5588235294117647,232.0
accuracy,0.6933843919186584,0.6933843919186584,0.6933843919186584,0.6933843919186584
macro avg,0.725812857307413,0.6671665554925225,0.6895071640515256,7573.0
weighted avg,0.6943304401856317,0.6933843919186584,0.6886357536192105,7573.0
