,precision,recall,f1-score,support
Automotive,0.710801393728223,0.6435331230283912,0.675496688741722,317.0
Construction,0.6163682864450127,0.6243523316062176,0.6203346203346204,386.0
Consumer Goods,0.5076923076923077,0.5217391304347826,0.5146198830409355,506.0
Financial Services,0.7866323907455013,0.7427184466019418,0.7640449438202247,412.0
Human Resources,0.75,0.5751295336787565,0.6510263929618768,193.0
Information Technology and Services,0.6453608247422681,0.8318936877076412,0.7268505079825834,1505.0
Insurance,0.801980198019802,0.648,0.7168141592920354,125.0
Legal Services,0.8823529411764706,0.8203125,0.8502024291497975,128.0
"Leisure, Travel & Tourism",0.8305084745762712,0.8032786885245902,0.8166666666666667,122.0
Logistics and Supply Chain,0.7786885245901639,0.6462585034013606,0.7063197026022304,147.0
Machinery,0.48412698412698413,0.48316831683168315,0.4836471754212091,505.0
Management Consulting,0.6025437201907791,0.568215892053973,0.5848765432098766,667.0
Marketing and Advertising,0.6470588235294118,0.6954022988505747,0.6703601108033241,522.0
Mechanical or Industrial Engineering,0.49107142857142855,0.5719237435008665,0.5284227381905524,577.0
Media Production,0.4322033898305085,0.21161825726141079,0.28412256267409475,241.0
Medical Practice,0.756838905775076,0.699438202247191,0.727007299270073,356.0
Real Estate,0.7980769230769231,0.7033898305084746,0.7477477477477477,236.0
Recreational Facilities and Services,0.6870229007633588,0.5769230769230769,0.6271777003484321,156.0
Renewables & Environment,0.639344262295082,0.3786407766990291,0.47560975609756095,103.0
Telecommunications,0.7313432835820896,0.35766423357664234,0.48039215686274517,137.0
Wholesale,0.6075949367088608,0.41379310344827586,0.4923076923076923,232.0
accuracy,0.6355473392314802,0.6355473392314802,0.6355473392314802,0.6355473392314802
macro avg,0.6756005190555487,0.5960663655659467,0.6259070227393333,7573.0
weighted avg,0.6381675239674724,0.6355473392314802,0.6298705304109258,7573.0
