,precision,recall,f1-score,support
Automotive,0.7386363636363636,0.6151419558359621,0.6712564543889845,317.0
Construction,0.6438746438746439,0.5854922279792746,0.6132971506105834,386.0
Consumer Goods,0.5391498881431768,0.4762845849802372,0.5057712486883527,506.0
Financial Services,0.7946666666666666,0.7233009708737864,0.7573062261753494,412.0
Human Resources,0.7346938775510204,0.5595854922279793,0.6352941176470588,193.0
Information Technology and Services,0.5693950177935944,0.8504983388704319,0.6821209698907541,1505.0
Insurance,0.7708333333333334,0.592,0.669683257918552,125.0
Legal Services,0.9238095238095239,0.7578125,0.8326180257510729,128.0
"Leisure, Travel & Tourism",0.831858407079646,0.7704918032786885,0.8,122.0
Logistics and Supply Chain,0.7457627118644068,0.5986394557823129,0.6641509433962264,147.0
Machinery,0.4523364485981308,0.4792079207920792,0.4653846153846154,505.0
Management Consulting,0.5735785953177257,0.5142428785607196,0.542292490118577,667.0
Marketing and Advertising,0.6436781609195402,0.6436781609195402,0.6436781609195402,522.0
Mechanical or Industrial Engineering,0.4825949367088608,0.5285961871750433,0.5045492142266336,577.0
Media Production,0.45535714285714285,0.21161825726141079,0.28895184135977336,241.0
Medical Practice,0.7598684210526315,0.648876404494382,0.7000000000000001,356.0
Real Estate,0.805,0.6822033898305084,0.7385321100917431,236.0
Recreational Facilities and Services,0.6101694915254238,0.46153846153846156,0.5255474452554745,156.0
Renewables & Environment,0.6557377049180327,0.3883495145631068,0.48780487804878053,103.0
Telecommunications,0.7857142857142857,0.32116788321167883,0.4559585492227979,137.0
Wholesale,0.5146198830409356,0.3793103448275862,0.4367245657568238,232.0
accuracy,0.609269774197808,0.609269774197808,0.609269774197808,0.609269774197808
macro avg,0.6681588335430994,0.5613350825239614,0.6009962983262712,7573.0
weighted avg,0.6196761299036588,0.609269774197808,0.6028219800922545,7573.0
