,precision,recall,f1-score,support
Automotive,0.7233333333333334,0.6845425867507886,0.7034035656401946,317.0
Construction,0.6419437340153452,0.6502590673575129,0.646074646074646,386.0
Consumer Goods,0.555984555984556,0.5691699604743083,0.5625,506.0
Financial Services,0.8055555555555556,0.7742718446601942,0.7896039603960395,412.0
Human Resources,0.7166666666666667,0.6683937823834197,0.6916890080428955,193.0
Information Technology and Services,0.7013729977116705,0.8146179401993355,0.7537657546879802,1505.0
Insurance,0.8073394495412844,0.704,0.7521367521367521,125.0
Legal Services,0.8671875,0.8671875,0.8671875,128.0
"Leisure, Travel & Tourism",0.8571428571428571,0.8360655737704918,0.8464730290456433,122.0
Logistics and Supply Chain,0.753731343283582,0.6870748299319728,0.7188612099644128,147.0
Machinery,0.4815533980582524,0.4910891089108911,0.4862745098039215,505.0
Management Consulting,0.6455906821963394,0.5817091454272864,0.6119873817034701,667.0
Marketing and Advertising,0.6923076923076923,0.7241379310344828,0.7078651685393258,522.0
Mechanical or Industrial Engineering,0.5071090047393365,0.5563258232235702,0.5305785123966942,577.0
Media Production,0.42391304347826086,0.3236514522821577,0.3670588235294117,241.0
Medical Practice,0.7237569060773481,0.7359550561797753,0.7298050139275766,356.0
Real Estate,0.8423645320197044,0.7245762711864406,0.7790432801822323,236.0
Recreational Facilities and Services,0.644927536231884,0.5705128205128205,0.6054421768707482,156.0
Renewables & Environment,0.6842105263157895,0.5048543689320388,0.5810055865921787,103.0
Telecommunications,0.6043956043956044,0.40145985401459855,0.4824561403508772,137.0
Wholesale,0.5572139303482587,0.4827586206896552,0.5173210161662818,232.0
accuracy,0.6583916545622607,0.6583916545622607,0.6583916545622607,0.6583916545622607
macro avg,0.6779809928287296,0.6358387399010353,0.6538349064786324,7573.0
weighted avg,0.6577355236935033,0.6583916545622607,0.6557672711445861,7573.0
