,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,228,2,10,3,1,20,0,0,0,2,15,6,3,19,1,0,0,3,0,0,4
Construction,1,273,16,1,1,23,0,0,3,0,25,7,7,14,0,2,5,0,3,0,5
Consumer Goods,10,16,316,2,1,34,0,1,1,0,24,8,4,42,3,9,1,11,4,2,17
Financial Services,6,2,6,330,1,34,11,2,1,0,0,11,2,0,1,4,0,1,0,0,0
Human Resources,0,0,0,2,128,18,1,1,1,0,1,29,4,2,1,4,0,0,0,0,1
Information Technology and Services,7,3,20,12,6,1299,0,3,2,7,5,47,23,8,30,13,4,2,1,10,3
Insurance,0,1,2,12,0,6,92,0,0,0,0,6,1,1,0,1,3,0,0,0,0
Legal Services,0,0,1,4,0,1,0,119,0,0,0,2,0,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,2,3,1,0,6,0,0,101,0,0,1,2,0,0,0,2,4,0,0,0
Logistics and Supply Chain,4,3,3,1,0,9,0,0,0,101,5,4,0,8,2,1,1,0,1,1,3
Machinery,10,19,15,1,1,26,0,0,1,2,277,7,3,115,0,6,3,2,4,1,12
Management Consulting,1,18,9,10,22,130,4,5,0,3,3,402,29,4,8,10,2,1,2,3,1
Marketing and Advertising,3,11,9,3,0,41,0,0,1,2,2,19,399,3,18,3,1,2,0,1,4
Mechanical or Industrial Engineering,16,23,27,0,2,34,0,0,0,4,78,10,2,364,0,4,0,3,1,0,9
Media Production,0,0,11,2,1,72,0,1,3,1,0,7,55,2,77,2,3,0,0,2,2
Medical Practice,0,2,10,2,0,19,3,0,0,0,5,14,5,11,0,280,0,4,1,0,0
Real Estate,1,19,0,9,0,9,2,1,4,1,2,2,5,3,0,1,177,0,0,0,0
Recreational Facilities and Services,0,1,6,0,1,9,0,0,2,0,8,1,7,5,0,5,0,105,1,0,5
Renewables & Environment,1,2,5,0,0,8,0,0,0,0,17,2,1,11,0,0,0,0,56,0,0
Telecommunications,0,4,14,0,1,38,0,0,0,0,3,4,8,2,2,0,0,1,1,57,2
Wholesale,4,6,37,0,1,9,0,0,0,2,21,3,7,10,1,5,1,6,0,1,118
