,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,213,1,9,1,2,17,0,0,0,1,25,7,5,27,0,2,0,2,0,1,4
Construction,1,266,17,3,1,19,0,0,1,1,25,9,7,18,0,2,6,0,4,1,5
Consumer Goods,12,22,310,2,0,39,0,1,1,0,28,3,8,40,1,9,3,12,2,1,12
Financial Services,8,3,3,323,2,35,12,2,1,0,0,14,1,1,0,2,2,0,0,2,1
Human Resources,0,1,1,2,121,17,1,0,0,0,2,37,4,2,0,3,0,1,0,0,1
Information Technology and Services,6,5,16,15,5,1279,0,3,1,7,5,66,37,14,26,7,3,1,1,6,2
Insurance,2,2,1,15,0,8,86,0,0,0,1,3,0,2,1,3,1,0,0,0,0
Legal Services,0,0,1,4,0,1,0,117,0,0,0,3,0,0,0,0,2,0,0,0,0
"Leisure, Travel & Tourism",0,1,2,0,0,5,0,0,100,0,1,2,3,1,0,0,2,5,0,0,0
Logistics and Supply Chain,3,2,4,0,0,10,0,0,0,99,6,4,2,9,2,2,0,0,1,1,2
Machinery,10,23,12,2,0,30,0,0,0,2,268,11,2,118,1,5,1,2,4,2,12
Management Consulting,3,15,9,8,21,128,3,6,0,2,4,414,27,6,6,7,2,1,3,1,1
Marketing and Advertising,2,9,6,2,0,49,0,0,4,2,2,14,391,5,26,2,1,1,0,2,4
Mechanical or Industrial Engineering,17,18,32,1,2,41,0,0,0,3,71,9,3,364,0,2,2,3,0,0,9
Media Production,0,1,9,4,2,77,0,0,3,1,1,10,43,1,79,1,2,0,0,4,3
Medical Practice,2,3,12,0,2,22,3,0,0,1,7,16,3,15,0,262,0,6,1,0,1
Real Estate,1,22,3,8,0,11,1,0,1,1,2,2,4,3,0,0,177,0,0,0,0
Recreational Facilities and Services,1,2,8,0,1,6,0,0,3,0,11,3,6,6,0,7,0,98,0,0,4
Renewables & Environment,2,4,6,2,0,9,0,0,0,0,13,3,1,14,0,0,0,0,48,0,1
Telecommunications,0,2,13,2,1,50,0,0,0,0,2,7,7,3,1,0,0,0,0,47,2
Wholesale,3,5,29,4,1,10,0,0,0,0,20,4,7,15,1,6,2,7,0,0,118
