,precision,recall,f1-score,support
Automotive,0.7708333333333334,0.7003154574132492,0.7338842975206611,317.0
Construction,0.6707616707616708,0.7072538860103627,0.6885245901639345,386.0
Consumer Goods,0.626204238921002,0.642292490118577,0.6341463414634146,506.0
Financial Services,0.8084577114427861,0.7888349514563107,0.7985257985257984,412.0
Human Resources,0.7672955974842768,0.6321243523316062,0.6931818181818182,193.0
Information Technology and Services,0.6991913746630728,0.8617940199335549,0.7720238095238096,1505.0
Insurance,0.8073394495412844,0.704,0.7521367521367521,125.0
Legal Services,0.9022556390977443,0.9375,0.9195402298850575,128.0
"Leisure, Travel & Tourism",0.8859649122807017,0.8278688524590164,0.8559322033898306,122.0
Logistics and Supply Chain,0.8253968253968254,0.7074829931972789,0.7619047619047618,147.0
Machinery,0.5614754098360656,0.5425742574257426,0.5518630412890232,505.0
Management Consulting,0.672077922077922,0.6206896551724138,0.6453624318004676,667.0
Marketing and Advertising,0.7279279279279279,0.7739463601532567,0.7502321262766946,522.0
Mechanical or Industrial Engineering,0.5723076923076923,0.6447140381282496,0.6063569682151589,577.0
Media Production,0.547945205479452,0.33195020746887965,0.41343669250646,241.0
Medical Practice,0.8206686930091185,0.7584269662921348,0.7883211678832116,356.0
Real Estate,0.8792270531400966,0.7711864406779662,0.8216704288939052,236.0
Recreational Facilities and Services,0.7133333333333334,0.6858974358974359,0.6993464052287582,156.0
Renewables & Environment,0.7611940298507462,0.49514563106796117,0.6,103.0
Telecommunications,0.7222222222222222,0.3795620437956204,0.4976076555023922,137.0
Wholesale,0.6795580110497238,0.5301724137931034,0.5956416464891041,232.0
accuracy,0.7006470355209297,0.7006470355209297,0.7006470355209297,0.7006470355209297
macro avg,0.7343637263408093,0.668749164418701,0.6942685317514768,7573.0
weighted avg,0.7024200004078747,0.7006470355209297,0.696447254286503,7573.0
