,precision,recall,f1-score,support
Automotive,0.7198581560283688,0.6403785488958991,0.67779632721202,317.0
Construction,0.6384615384615384,0.6450777202072538,0.6417525773195875,386.0
Consumer Goods,0.5082304526748971,0.4881422924901186,0.4979838709677419,506.0
Financial Services,0.794344473007712,0.75,0.7715355805243447,412.0
Human Resources,0.7718120805369127,0.5958549222797928,0.672514619883041,193.0
Information Technology and Services,0.6418581418581418,0.8538205980066446,0.7328200741374394,1505.0
Insurance,0.7678571428571429,0.688,0.7257383966244725,125.0
Legal Services,0.9051724137931034,0.8203125,0.860655737704918,128.0
"Leisure, Travel & Tourism",0.8362068965517241,0.7950819672131147,0.8151260504201681,122.0
Logistics and Supply Chain,0.7807017543859649,0.6054421768707483,0.6819923371647509,147.0
Machinery,0.49530956848030017,0.5227722772277228,0.5086705202312138,505.0
Management Consulting,0.6061588330632091,0.56071964017991,0.5825545171339565,667.0
Marketing and Advertising,0.6814814814814815,0.7049808429118773,0.6930320150659134,522.0
Mechanical or Industrial Engineering,0.5145482388973966,0.5823223570190641,0.5463414634146342,577.0
Media Production,0.48854961832061067,0.26556016597510373,0.3440860215053763,241.0
Medical Practice,0.7857142857142857,0.7106741573033708,0.7463126843657818,356.0
Real Estate,0.8578680203045685,0.7161016949152542,0.7806004618937643,236.0
Recreational Facilities and Services,0.676923076923077,0.5641025641025641,0.6153846153846154,156.0
Renewables & Environment,0.7121212121212122,0.4563106796116505,0.5562130177514794,103.0
Telecommunications,0.7142857142857143,0.3284671532846715,0.44999999999999996,137.0
Wholesale,0.5696969696969697,0.4051724137931034,0.473551637279597,232.0
accuracy,0.6453188960781725,0.6453188960781725,0.6453188960781725,0.6453188960781725
macro avg,0.6889123842592538,0.6047283177279935,0.6368886917135625,7573.0
weighted avg,0.6494929921413254,0.6453188960781725,0.6398760512070899,7573.0
