,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,222,2,7,2,2,18,0,0,0,1,23,5,3,26,0,1,0,2,0,1,2
Construction,1,273,18,3,1,19,0,0,1,1,26,8,5,15,0,1,4,0,4,1,5
Consumer Goods,9,19,325,2,0,36,1,1,1,0,26,3,7,36,1,10,2,13,2,1,11
Financial Services,7,3,5,325,3,31,12,2,1,0,0,11,2,1,1,3,2,1,0,2,0
Human Resources,0,1,0,2,122,16,1,0,0,0,2,39,5,2,0,2,0,1,0,0,0
Information Technology and Services,5,5,18,18,5,1297,0,3,0,7,4,56,25,15,27,8,2,1,0,5,4
Insurance,2,1,0,16,0,5,88,0,0,0,1,6,1,1,1,2,1,0,0,0,0
Legal Services,0,0,1,4,0,1,0,120,0,0,0,1,0,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,2,2,0,0,6,0,0,101,0,1,2,1,0,0,0,2,4,0,0,1
Logistics and Supply Chain,3,2,4,0,0,8,0,0,0,104,6,5,1,6,2,1,0,0,1,1,3
Machinery,9,18,15,1,0,25,0,0,0,2,274,13,3,118,0,6,3,2,3,1,12
Management Consulting,3,17,9,10,18,128,3,6,0,2,3,414,26,4,7,8,2,1,3,2,1
Marketing and Advertising,2,9,7,1,0,43,0,0,4,3,2,13,404,2,25,2,0,1,0,2,2
Mechanical or Industrial Engineering,19,18,31,0,1,40,0,0,0,3,68,6,3,372,0,2,2,3,1,0,8
Media Production,0,1,9,3,1,80,0,1,3,1,1,5,44,2,80,1,2,0,0,4,3
Medical Practice,1,2,9,0,3,22,3,0,0,1,6,14,3,14,0,270,0,6,1,0,1
Real Estate,0,22,3,7,0,9,1,0,1,1,1,3,4,2,0,0,182,0,0,0,0
Recreational Facilities and Services,0,2,10,0,1,8,0,0,2,0,8,1,5,4,0,6,0,107,0,0,2
Renewables & Environment,2,3,4,2,0,6,0,0,0,0,15,3,1,15,0,0,0,0,51,0,1
Telecommunications,0,3,13,2,1,49,0,0,0,0,2,4,5,2,1,0,0,0,1,52,2
Wholesale,3,4,29,4,1,8,0,0,0,0,19,4,7,13,1,6,2,8,0,0,123
