,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,203,3,14,4,2,29,0,0,0,2,10,11,5,28,0,0,0,1,0,1,4
Construction,1,249,14,0,1,30,1,0,3,3,29,16,7,17,0,1,9,1,2,0,2
Consumer Goods,12,12,247,4,2,62,0,1,0,0,36,7,4,68,5,4,1,12,4,1,24
Financial Services,6,1,7,309,0,42,12,3,2,1,1,20,3,0,0,3,1,0,0,1,0
Human Resources,2,1,0,1,115,24,1,0,1,0,2,32,8,2,0,4,0,0,0,0,0
Information Technology and Services,9,5,15,15,4,1285,2,1,3,6,9,56,23,15,25,11,3,3,2,9,4
Insurance,2,0,3,13,0,10,86,0,0,0,0,4,2,0,0,2,3,0,0,0,0
Legal Services,0,1,1,5,0,4,0,105,0,0,1,6,1,0,0,2,2,0,0,0,0
"Leisure, Travel & Tourism",0,1,2,1,0,10,1,0,97,0,0,1,2,1,1,0,1,4,0,0,0
Logistics and Supply Chain,4,4,4,3,1,17,0,0,0,89,4,8,2,8,0,0,0,0,1,0,2
Machinery,17,27,16,2,0,29,0,0,1,4,264,9,0,116,1,4,3,2,2,1,7
Management Consulting,4,18,7,15,18,151,3,5,0,2,8,374,31,4,4,15,3,1,2,1,1
Marketing and Advertising,3,10,17,2,1,52,0,0,2,1,2,22,368,7,25,4,2,0,1,0,3
Mechanical or Industrial Engineering,14,15,34,1,2,48,0,0,0,2,93,13,3,336,0,3,0,4,0,0,9
Media Production,0,2,14,3,1,86,0,1,3,0,0,7,51,1,64,4,0,1,0,1,2
Medical Practice,0,3,14,1,0,31,2,0,0,1,13,12,8,12,1,253,0,3,1,0,1
Real Estate,0,17,3,7,0,14,4,0,3,1,1,9,2,2,1,2,169,0,0,0,1
Recreational Facilities and Services,0,3,16,1,1,4,0,0,1,0,11,3,6,4,0,4,0,88,3,1,10
Renewables & Environment,1,4,6,0,0,9,0,0,0,0,20,1,0,13,1,0,0,0,47,1,0
Telecommunications,0,3,14,1,1,53,0,0,0,0,4,4,5,3,1,0,0,1,1,45,1
Wholesale,4,11,38,1,0,12,0,0,0,2,25,2,9,16,2,6,0,9,0,1,94
