,precision,recall,f1-score,support
Automotive,0.7562724014336918,0.6656151419558359,0.7080536912751678,317.0
Construction,0.6487804878048781,0.689119170984456,0.6683417085427137,386.0
Consumer Goods,0.6101364522417154,0.6185770750988142,0.6143277723258096,506.0
Financial Services,0.813953488372093,0.7645631067961165,0.7884856070087609,412.0
Human Resources,0.7672955974842768,0.6321243523316062,0.6931818181818182,193.0
Information Technology and Services,0.6869009584664537,0.8571428571428571,0.7626367129766479,1505.0
Insurance,0.8130841121495327,0.696,0.75,125.0
Legal Services,0.9,0.9140625,0.9069767441860466,128.0
"Leisure, Travel & Tourism",0.8706896551724138,0.8278688524590164,0.8487394957983194,122.0
Logistics and Supply Chain,0.8333333333333334,0.6802721088435374,0.749063670411985,147.0
Machinery,0.5370370370370371,0.5168316831683168,0.5267406659939455,505.0
Management Consulting,0.6566929133858268,0.6251874062968515,0.6405529953917052,667.0
Marketing and Advertising,0.7081081081081081,0.7528735632183908,0.7298050139275766,522.0
Mechanical or Industrial Engineering,0.5441176470588235,0.6412478336221837,0.588703261734288,577.0
Media Production,0.5797101449275363,0.33195020746887965,0.42216358839050133,241.0
Medical Practice,0.8184615384615385,0.7471910112359551,0.7812041116005874,356.0
Real Estate,0.8737864077669902,0.7627118644067796,0.8144796380090498,236.0
Recreational Facilities and Services,0.7226277372262774,0.6346153846153846,0.6757679180887372,156.0
Renewables & Environment,0.7833333333333333,0.4563106796116505,0.5766871165644171,103.0
Telecommunications,0.7076923076923077,0.3357664233576642,0.45544554455445546,137.0
Wholesale,0.6470588235294118,0.521551724137931,0.577565632458234,232.0
accuracy,0.6869140367093622,0.6869140367093622,0.6869140367093622,0.6869140367093622
macro avg,0.7275748802374085,0.6510277593691538,0.6799487003533699,7573.0
weighted avg,0.6909106214803324,0.6869140367093622,0.6827364041934894,7573.0
