,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,197,3,11,3,2,28,0,0,0,1,25,9,6,26,0,0,0,1,0,1,4
Construction,1,242,21,1,1,34,1,0,3,1,24,12,3,21,0,4,11,0,5,0,1
Consumer Goods,13,13,257,2,0,73,0,0,1,0,35,7,3,56,5,7,1,9,2,3,19
Financial Services,9,1,5,291,1,57,10,2,2,1,1,16,5,3,1,3,2,1,0,1,0
Human Resources,1,3,0,2,114,26,0,1,2,0,2,30,7,1,2,2,0,0,0,0,0
Information Technology and Services,6,8,17,10,7,1268,1,1,2,8,8,72,23,14,36,12,5,2,1,2,2
Insurance,1,1,1,16,0,19,75,0,0,0,1,3,1,1,0,2,4,0,0,0,0
Legal Services,0,0,1,7,0,7,1,101,0,0,1,5,0,0,1,1,2,0,1,0,0
"Leisure, Travel & Tourism",1,1,2,2,0,9,0,0,96,0,1,2,2,2,0,0,1,3,0,0,0
Logistics and Supply Chain,6,2,6,1,0,20,0,0,0,92,6,5,0,4,1,1,0,0,1,0,2
Machinery,16,24,21,2,1,45,1,0,0,3,251,7,3,113,0,3,2,1,4,0,8
Management Consulting,2,12,8,13,25,163,4,7,1,2,9,354,30,8,6,12,5,2,3,0,1
Marketing and Advertising,5,9,11,1,1,77,0,0,4,1,2,21,355,3,19,4,1,4,1,0,3
Mechanical or Industrial Engineering,16,18,33,1,2,59,0,0,0,3,100,7,4,312,0,4,0,4,1,0,13
Media Production,0,3,14,2,0,90,0,1,2,0,0,10,57,1,56,3,0,1,0,1,0
Medical Practice,0,0,14,2,0,47,4,0,0,2,16,18,4,17,0,229,0,3,0,0,0
Real Estate,0,18,2,3,0,20,5,0,1,1,1,11,1,3,0,3,167,0,0,0,0
Recreational Facilities and Services,0,2,14,0,2,22,0,0,1,0,15,1,6,6,0,7,0,74,1,1,4
Renewables & Environment,1,6,4,0,0,15,0,0,0,1,20,1,1,13,1,1,0,0,39,0,0
Telecommunications,0,4,11,2,1,50,0,0,0,0,6,5,5,6,2,0,0,2,1,41,1
Wholesale,5,9,39,2,0,17,0,0,0,3,21,5,8,23,2,6,0,8,0,0,84
