,precision,recall,f1-score,support
Automotive,0.7638888888888888,0.694006309148265,0.7272727272727272,317.0
Construction,0.6707616707616708,0.7072538860103627,0.6885245901639345,386.0
Consumer Goods,0.6233009708737864,0.6343873517786561,0.6287952987267386,506.0
Financial Services,0.816793893129771,0.779126213592233,0.7975155279503104,412.0
Human Resources,0.7707006369426752,0.6269430051813472,0.6914285714285714,193.0
Information Technology and Services,0.6967567567567567,0.8564784053156146,0.7684053651266765,1505.0
Insurance,0.8053097345132744,0.728,0.7647058823529412,125.0
Legal Services,0.8955223880597015,0.9375,0.9160305343511451,128.0
"Leisure, Travel & Tourism",0.8938053097345132,0.8278688524590164,0.8595744680851064,122.0
Logistics and Supply Chain,0.8455284552845529,0.7074829931972789,0.7703703703703704,147.0
Machinery,0.5576131687242798,0.5366336633663367,0.5469223007063572,505.0
Management Consulting,0.6736672051696284,0.6251874062968515,0.6485225505443234,667.0
Marketing and Advertising,0.7173524150268337,0.7681992337164751,0.7419056429232193,522.0
Mechanical or Industrial Engineering,0.5567164179104478,0.6464471403812825,0.5982357658380113,577.0
Media Production,0.5531914893617021,0.3236514522821577,0.4083769633507853,241.0
Medical Practice,0.811377245508982,0.7612359550561798,0.7855072463768116,356.0
Real Estate,0.8894230769230769,0.7838983050847458,0.8333333333333333,236.0
Recreational Facilities and Services,0.7310344827586207,0.6794871794871795,0.7043189368770765,156.0
Renewables & Environment,0.796875,0.49514563106796117,0.6107784431137724,103.0
Telecommunications,0.7142857142857143,0.36496350364963503,0.4830917874396136,137.0
Wholesale,0.6630434782608695,0.5258620689655172,0.5865384615384616,232.0
accuracy,0.6980060742110128,0.6980060742110128,0.6980060742110128,0.6980060742110128
macro avg,0.7355689713750354,0.6671313598112902,0.6933407032319184,7573.0
weighted avg,0.7005754458497219,0.6980060742110128,0.6938992260559244,7573.0
