,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,220,2,8,2,2,16,0,0,0,1,22,7,4,25,0,1,0,3,0,1,3
Construction,0,273,17,2,1,20,0,0,1,1,26,7,7,16,0,2,4,0,3,1,5
Consumer Goods,12,18,321,2,0,33,1,1,1,0,27,4,8,38,1,9,2,12,3,1,12
Financial Services,8,3,4,321,2,34,12,2,1,0,0,14,2,1,0,3,2,1,0,2,0
Human Resources,0,1,1,2,121,17,1,1,0,0,2,37,4,2,0,4,0,0,0,0,0
Information Technology and Services,6,7,18,16,5,1289,0,3,0,5,4,54,30,17,28,10,2,1,0,6,4
Insurance,1,1,0,15,0,5,91,0,0,0,1,6,1,1,0,2,1,0,0,0,0
Legal Services,0,0,1,3,0,2,0,120,0,0,0,1,0,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,2,2,0,0,6,0,0,101,0,1,2,1,0,0,0,2,4,0,0,1
Logistics and Supply Chain,3,2,6,0,0,7,0,0,0,104,7,4,1,6,1,1,0,0,1,1,3
Machinery,8,18,14,1,0,28,0,0,0,2,271,10,3,125,1,6,3,1,2,1,11
Management Consulting,4,17,8,9,17,129,3,6,0,2,4,417,24,5,7,7,2,1,2,2,1
Marketing and Advertising,1,8,8,1,1,47,0,0,4,2,2,14,401,4,21,2,0,1,0,1,4
Mechanical or Industrial Engineering,18,19,30,0,1,38,0,0,0,3,68,8,4,373,1,2,1,1,0,0,10
Media Production,0,1,11,4,1,79,0,1,2,1,1,6,45,1,78,1,3,0,0,4,2
Medical Practice,1,2,8,0,3,24,3,0,0,1,6,12,2,15,0,271,0,6,1,0,1
Real Estate,0,20,3,7,0,7,1,0,1,1,1,3,5,2,0,0,185,0,0,0,0
Recreational Facilities and Services,0,2,8,0,1,7,1,0,2,0,8,2,5,4,1,6,0,106,0,0,3
Renewables & Environment,2,2,5,3,0,6,0,0,0,0,15,3,0,15,0,1,0,0,51,0,0
Telecommunications,0,4,14,1,1,47,0,0,0,0,2,5,5,4,1,0,0,0,1,50,2
Wholesale,4,5,28,4,1,9,0,0,0,0,18,3,7,16,1,6,0,8,0,0,122
