,precision,recall,f1-score,support
Automotive,0.44148936170212766,0.2618296529968454,0.32871287128712867,317.0
Construction,0.45989304812834225,0.22279792746113988,0.30017452006980805,386.0
Consumer Goods,0.3297587131367292,0.24308300395256918,0.27986348122866894,506.0
Financial Services,0.5966666666666667,0.4344660194174757,0.502808988764045,412.0
Human Resources,0.4270833333333333,0.21243523316062177,0.28373702422145325,193.0
Information Technology and Services,0.28798185941043086,0.759468438538206,0.4176105224698576,1505.0
Insurance,0.4915254237288136,0.232,0.31521739130434784,125.0
Legal Services,0.6037735849056604,0.25,0.35359116022099446,128.0
"Leisure, Travel & Tourism",0.625,0.4098360655737705,0.4950495049504951,122.0
Logistics and Supply Chain,0.5737704918032787,0.23809523809523808,0.3365384615384615,147.0
Machinery,0.28378378378378377,0.16633663366336635,0.2097378277153558,505.0
Management Consulting,0.3665158371040724,0.24287856071964017,0.2921550946798918,667.0
Marketing and Advertising,0.375,0.25287356321839083,0.30205949656750575,522.0
Mechanical or Industrial Engineering,0.3037383177570093,0.22530329289428075,0.25870646766169153,577.0
Media Production,0.25510204081632654,0.1037344398340249,0.14749262536873156,241.0
Medical Practice,0.4666666666666667,0.2752808988764045,0.34628975265017664,356.0
Real Estate,0.6102941176470589,0.3516949152542373,0.446236559139785,236.0
Recreational Facilities and Services,0.2191780821917808,0.10256410256410256,0.13973799126637557,156.0
Renewables & Environment,0.6451612903225806,0.1941747572815534,0.29850746268656714,103.0
Telecommunications,0.4444444444444444,0.08759124087591241,0.14634146341463417,137.0
Wholesale,0.39473684210526316,0.1939655172413793,0.26011560693641617,232.0
accuracy,0.34438135481315196,0.34438135481315196,0.34438135481315196,0.34438135481315196
macro avg,0.4381697097930652,0.2600195000771028,0.30765163210201874,7573.0
weighted avg,0.38674905731524567,0.34438135481315196,0.3237083226044101,7573.0
