,precision,recall,f1-score,support
Automotive,0.5983606557377049,0.2302839116719243,0.3325740318906606,317.0
Construction,0.4954128440366973,0.13989637305699482,0.21818181818181823,386.0
Consumer Goods,0.39183673469387753,0.18972332015810275,0.255659121171771,506.0
Financial Services,0.6784140969162996,0.3737864077669903,0.48200312989045385,412.0
Human Resources,0.5606060606060606,0.19170984455958548,0.2857142857142857,193.0
Information Technology and Services,0.2514746362563901,0.8498338870431894,0.3881049916552875,1505.0
Insurance,0.6052631578947368,0.184,0.2822085889570552,125.0
Legal Services,0.7272727272727273,0.1875,0.29813664596273287,128.0
"Leisure, Travel & Tourism",0.6551724137931034,0.3114754098360656,0.4222222222222222,122.0
Logistics and Supply Chain,0.574468085106383,0.1836734693877551,0.2783505154639176,147.0
Machinery,0.3564356435643564,0.14257425742574256,0.20367751060820366,505.0
Management Consulting,0.4158730158730159,0.19640179910044978,0.2668024439918533,667.0
Marketing and Advertising,0.4109090909090909,0.2164750957854406,0.28356336260978665,522.0
Mechanical or Industrial Engineering,0.37109375,0.16464471403812825,0.22809123649459784,577.0
Media Production,0.36507936507936506,0.0954356846473029,0.15131578947368418,241.0
Medical Practice,0.5625,0.22752808988764045,0.324,356.0
Real Estate,0.6363636363636364,0.2669491525423729,0.3761194029850746,236.0
Recreational Facilities and Services,0.225,0.057692307692307696,0.09183673469387756,156.0
Renewables & Environment,0.5666666666666667,0.1650485436893204,0.2556390977443609,103.0
Telecommunications,0.4482758620689655,0.0948905109489051,0.15662650602409636,137.0
Wholesale,0.3258426966292135,0.125,0.1806853582554517,232.0
accuracy,0.323649808530305,0.323649808530305,0.323649808530305,0.323649808530305
macro avg,0.48677719711753764,0.21878679901134374,0.2743577520948187,7573.0
weighted avg,0.4269607126345576,0.323649808530305,0.2941704204085639,7573.0
