,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,73,1,9,6,3,186,0,0,0,4,4,9,5,8,1,3,0,0,0,0,5
Construction,2,54,9,3,1,259,0,1,3,1,20,9,3,4,1,3,11,0,2,0,0
Consumer Goods,7,5,96,6,1,300,0,1,3,0,11,6,12,29,1,7,2,5,1,2,11
Financial Services,4,2,1,154,0,221,7,0,0,0,3,4,5,3,2,0,3,1,0,1,1
Human Resources,0,0,2,2,37,117,0,0,0,2,1,19,3,1,0,6,1,0,0,0,2
Information Technology and Services,4,4,18,16,10,1279,2,2,4,4,14,60,44,15,13,5,1,1,0,3,6
Insurance,0,1,0,7,0,77,23,0,0,0,2,6,2,0,1,4,1,0,0,0,1
Legal Services,0,1,0,3,0,88,0,24,1,0,1,4,1,1,0,1,1,0,1,0,1
"Leisure, Travel & Tourism",1,1,3,0,0,67,1,1,38,0,1,1,1,1,0,1,1,3,1,0,0
Logistics and Supply Chain,4,3,1,1,1,91,0,0,0,27,7,3,1,2,1,3,0,0,0,0,2
Machinery,4,5,17,3,1,319,0,1,0,2,72,7,7,51,2,2,1,3,2,2,4
Management Consulting,4,6,4,7,7,452,2,2,2,4,3,131,15,5,3,8,5,1,0,3,3
Marketing and Advertising,3,3,10,2,3,343,1,0,2,1,4,15,113,3,10,3,0,1,2,2,1
Mechanical or Industrial Engineering,7,9,15,3,2,376,0,0,0,0,27,10,9,95,1,6,4,1,1,1,10
Media Production,1,1,8,3,0,162,0,1,1,1,1,6,23,5,23,2,1,0,0,0,2
Medical Practice,2,0,4,3,0,220,0,0,2,0,6,11,7,9,1,81,1,5,0,1,3
Real Estate,0,10,4,4,0,140,1,0,1,1,1,3,1,2,0,2,63,1,1,0,1
Recreational Facilities and Services,0,2,11,0,0,109,0,0,1,0,4,2,5,2,2,4,0,9,2,0,3
Renewables & Environment,0,0,5,2,0,52,0,0,0,0,11,3,1,7,1,0,1,1,17,0,2
Telecommunications,1,0,4,1,0,103,0,0,0,0,1,0,9,1,0,0,1,1,0,13,2
Wholesale,5,1,24,1,0,125,1,0,0,0,8,6,8,12,0,3,1,7,0,1,29
