feature,value
kraftstoffverbrauch,0.010300626046955585
banking,0.00979987345635891
inhalte,0.004862088710069656
software,0.0047254073433578014
patienten,0.0036476580426096916
hrungskra,0.0032443951349705458
rechtsanwa,0.002664498519152403
cloud,0.0026070023886859417
staatliche,0.002463245065882802
immobilien,0.002458071568980813
vehicle,0.002418543677777052
coaching,0.0023307991214096546
vollem,0.0023217396810650826
medical,0.0023038226645439863
zahlungen,0.002289391588419676
werbeagentur,0.0022555720061063766
gas,0.0022257918026298285
anleger,0.00219703558832407
telefonieren,0.0021889074705541134
hotel,0.0021280122455209494
patients,0.0020428881980478764
maschinenbau,0.0020106625743210316
autohaus,0.0020096967928111553
steuerberatung,0.001924151903949678
credit,0.001907235593535006
pharmaceuticals,0.001870015519671142
5g,0.0018518614815548062
fahrzeug,0.0018387660384178162
kandidaten,0.001826131483539939
wohnungen,0.0017637769924476743
engine,0.0017587747424840927
bau,0.0017272507539018989
lighting,0.0017243331531062722
navigate,0.001720760832540691
kreative,0.001718214014545083
methode,0.001693835947662592
sortiment,0.0016847336664795876
steuerberatungsgesellschaft,0.0016305720200762153
bank,0.0015948276268318295
cnc,0.001572412671521306
maschinen,0.0015686806291341782
immobilie,0.0015482736052945256
bmw,0.0015158652095124125
vehicles,0.0015117592411115766
industrielle,0.0015113833360373974
transport,0.0014509717002511024
versicherungen,0.0014497971860691905
consult,0.0014395356411114335
consulting,0.0014332804130390286
bist,0.001403379370458424
kampagne,0.0013895384036004543
berater,0.001379696186631918
machines,0.0013777816202491522
adults,0.0013681272976100445
cable,0.0013503163354471326
enterprise,0.0013404482742771506
marketing,0.0013273163931444287
agentur,0.0013224361464381218
geschmack,0.0013212728081271052
neubau,0.001320007024332881
shop,0.0013152515748515725
solar,0.001307815546169877
voice,0.0013056324096396565
m2,0.0013019007164984941
anlage,0.001299966941587627
electronics,0.0012806898448616266
schmeckt,0.0012605490628629923
werbeartikel,0.0012530717067420483
bic,0.0012511027744039893
methoden,0.0012441201834008098
auto,0.0012368494644761086
internetagentur,0.0012344407150521874
transformation,0.0012330953031778336
arbeitsschutz,0.0012309871381148696
cart,0.001217140001244843
bausparvertrag,0.001205413369461894
handling,0.001201571780256927
sensor,0.0011951008345931768
fach,0.001185186323709786
pharma,0.001181171741336584
statistik,0.0011719089234247804
bio,0.0011672828113660216
microsoft,0.0011510220356285572
anlagen,0.0011340369237586856
estate,0.0011311412090435624
sap,0.001101010013371706
job,0.0010933461599051952
chtest,0.001092914491891861
consultant,0.0010813375702127814
warenkorb,0.0010804972844198346
bewerber,0.0010784957557916641
rdertechnik,0.0010748289059847593
architekten,0.001073382911272347
logistics,0.0010584673145785928
zeitarbeit,0.0010581598617136478
getra,0.0010572071187198162
construction,0.0010570008307695389
typo3,0.0010548498248681426
schaden,0.001054353080689907
kanzlei,0.0010527746053412557
crm,0.0010445923544466496
