,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,201,2,20,3,1,29,0,0,0,2,10,10,9,25,1,0,0,1,0,1,2
Construction,2,247,18,1,3,27,0,0,2,4,27,15,6,15,0,3,8,4,1,0,3
Consumer Goods,12,18,249,5,0,56,1,0,1,0,41,8,6,67,2,6,2,13,5,1,13
Financial Services,8,3,8,305,1,36,9,3,1,1,2,22,2,1,0,5,4,1,0,0,0
Human Resources,1,1,1,1,122,26,0,0,0,0,2,23,9,2,0,4,0,1,0,0,0
Information Technology and Services,11,6,22,14,4,1277,2,1,2,8,9,59,25,13,23,17,2,3,0,6,1
Insurance,2,1,1,13,0,9,85,0,0,0,1,4,2,1,0,2,4,0,0,0,0
Legal Services,0,1,2,5,0,3,0,107,0,0,0,5,1,2,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",0,0,1,1,0,7,0,0,103,1,0,0,1,1,1,0,1,5,0,0,0
Logistics and Supply Chain,3,2,8,2,1,16,0,0,0,95,4,5,1,8,0,1,0,0,1,0,0
Machinery,14,20,21,2,1,27,0,0,1,5,254,9,3,116,1,7,3,2,4,1,14
Management Consulting,5,14,5,13,21,155,4,6,0,3,9,371,27,3,5,15,4,1,3,2,1
Marketing and Advertising,4,11,12,5,3,61,0,1,2,2,1,18,365,6,19,2,3,1,0,1,5
Mechanical or Industrial Engineering,14,14,31,1,1,59,0,0,0,2,105,7,6,317,1,5,1,4,1,0,8
Media Production,0,1,8,5,1,86,0,1,3,0,0,5,54,2,66,3,0,1,0,1,4
Medical Practice,1,3,8,0,0,35,2,0,1,0,9,15,3,16,0,257,1,3,1,0,1
Real Estate,0,19,1,6,1,15,3,0,3,3,2,5,3,2,0,5,168,0,0,0,0
Recreational Facilities and Services,0,2,16,0,1,9,0,0,2,0,7,3,9,3,0,5,0,91,2,1,5
Renewables & Environment,1,8,4,0,0,10,0,0,0,0,20,1,0,13,0,1,0,0,45,0,0
Telecommunications,2,4,14,4,1,49,0,0,0,0,2,6,6,3,0,1,0,1,1,43,0
Wholesale,6,10,36,0,0,19,0,0,0,3,25,1,8,18,0,5,0,13,0,0,88
