,precision,recall,f1-score,support
Automotive,0.7355072463768116,0.6403785488958991,0.6846543001686342,317.0
Construction,0.6269430051813472,0.6269430051813472,0.6269430051813472,386.0
Consumer Goods,0.567193675889328,0.567193675889328,0.567193675889328,506.0
Financial Services,0.8076923076923077,0.7645631067961165,0.7855361596009975,412.0
Human Resources,0.7757575757575758,0.6632124352331606,0.7150837988826816,193.0
Information Technology and Services,0.61279296875,0.8338870431893688,0.7064452575288489,1505.0
Insurance,0.7857142857142857,0.616,0.6905829596412556,125.0
Legal Services,0.8699186991869918,0.8359375,0.852589641434263,128.0
"Leisure, Travel & Tourism",0.868421052631579,0.8114754098360656,0.8389830508474576,122.0
Logistics and Supply Chain,0.8067226890756303,0.6530612244897959,0.7218045112781954,147.0
Machinery,0.47704590818363274,0.47326732673267324,0.47514910536779326,505.0
Management Consulting,0.6276422764227643,0.5787106446776612,0.6021840873634945,667.0
Marketing and Advertising,0.6757246376811594,0.7145593869731801,0.6945996275605215,522.0
Mechanical or Industrial Engineering,0.5433715220949263,0.5753899480069324,0.5589225589225588,577.0
Media Production,0.5131578947368421,0.3236514522821577,0.3969465648854962,241.0
Medical Practice,0.7911392405063291,0.702247191011236,0.7440476190476191,356.0
Real Estate,0.8787878787878788,0.7372881355932204,0.8018433179723503,236.0
Recreational Facilities and Services,0.7094017094017094,0.532051282051282,0.608058608058608,156.0
Renewables & Environment,0.7424242424242424,0.47572815533980584,0.5798816568047338,103.0
Telecommunications,0.7183098591549296,0.3722627737226277,0.4903846153846154,137.0
Wholesale,0.6308724832214765,0.4051724137931034,0.49343832020997375,232.0
accuracy,0.6494123861085435,0.6494123861085435,0.6494123861085435,0.6494123861085435
macro avg,0.7030733885177023,0.6144276504616649,0.649298687715751,7573.0
weighted avg,0.6564658846038336,0.6494123861085435,0.645386897705762,7573.0
