,precision,recall,f1-score,support
Automotive,0.6940298507462687,0.5867507886435331,0.6358974358974359,317.0
Construction,0.5906432748538012,0.5233160621761658,0.5549450549450549,386.0
Consumer Goods,0.46466809421841543,0.4288537549407115,0.4460431654676259,506.0
Financial Services,0.771978021978022,0.6820388349514563,0.7242268041237114,412.0
Human Resources,0.7464788732394366,0.5492227979274611,0.6328358208955223,193.0
Information Technology and Services,0.5266297400937366,0.8212624584717608,0.6417445482866043,1505.0
Insurance,0.7578947368421053,0.576,0.6545454545454545,125.0
Legal Services,0.8771929824561403,0.78125,0.8264462809917354,128.0
"Leisure, Travel & Tourism",0.8050847457627118,0.7786885245901639,0.7916666666666666,122.0
Logistics and Supply Chain,0.7543859649122807,0.5850340136054422,0.6590038314176245,147.0
Machinery,0.4384920634920635,0.4376237623762376,0.4380574826560952,505.0
Management Consulting,0.5735056542810986,0.5322338830584707,0.552099533437014,667.0
Marketing and Advertising,0.6740890688259109,0.6379310344827587,0.6555118110236221,522.0
Mechanical or Industrial Engineering,0.4558359621451104,0.5008665511265165,0.47729149463253506,577.0
Media Production,0.4351851851851852,0.1950207468879668,0.26934097421203435,241.0
Medical Practice,0.7578947368421053,0.6067415730337079,0.6739469578783152,356.0
Real Estate,0.7881773399014779,0.6779661016949152,0.7289293849658315,236.0
Recreational Facilities and Services,0.6210526315789474,0.3782051282051282,0.4701195219123506,156.0
Renewables & Environment,0.5873015873015873,0.3592233009708738,0.44578313253012053,103.0
Telecommunications,0.7678571428571429,0.31386861313868614,0.4455958549222798,137.0
Wholesale,0.5319148936170213,0.3232758620689655,0.4021447721179625,232.0
accuracy,0.5831242572296316,0.5831242572296316,0.5831242572296316,0.5831242572296316
macro avg,0.6485853595776462,0.5369225615405201,0.5774369515964569,7573.0
weighted avg,0.5967897982563913,0.5831242572296316,0.5765742180935396,7573.0
