,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,203,4,16,3,1,30,0,1,0,1,22,8,4,17,0,1,1,1,0,0,4
Construction,1,242,19,2,0,40,0,0,2,1,29,10,12,17,1,2,5,0,2,0,1
Consumer Goods,7,23,287,2,1,59,1,0,0,1,26,10,4,46,5,7,1,8,2,1,15
Financial Services,4,1,3,315,1,41,12,6,0,0,2,12,3,1,3,3,1,1,1,2,0
Human Resources,0,1,0,3,128,19,1,0,1,0,3,25,7,1,0,2,0,0,0,1,1
Information Technology and Services,7,6,24,16,7,1255,0,3,2,6,11,64,30,11,36,9,2,3,1,5,7
Insurance,2,2,2,12,0,18,77,0,0,0,1,4,1,2,0,2,1,1,0,0,0
Legal Services,0,0,1,3,0,9,0,107,0,0,0,6,0,0,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,3,1,0,7,0,0,99,0,1,2,2,0,0,0,2,4,0,0,0
Logistics and Supply Chain,4,3,7,1,0,19,0,0,0,96,5,3,0,4,0,0,0,0,1,0,4
Machinery,10,25,17,2,0,55,0,0,0,1,239,8,3,121,0,6,2,2,5,1,8
Management Consulting,2,16,8,12,17,153,3,5,0,2,6,386,29,6,8,8,2,0,2,1,1
Marketing and Advertising,6,6,7,3,1,64,0,0,1,2,2,23,373,1,19,9,2,1,1,1,0
Mechanical or Industrial Engineering,13,16,38,2,1,52,1,0,0,2,88,10,4,332,0,3,1,2,1,1,10
Media Production,3,1,8,1,3,74,0,0,1,1,1,11,50,3,78,1,0,2,0,3,0
Medical Practice,0,4,13,0,3,41,1,1,1,1,9,14,4,9,1,250,0,4,0,0,0
Real Estate,2,12,2,6,0,16,1,0,5,1,1,5,4,4,0,1,174,0,0,2,0
Recreational Facilities and Services,2,2,12,0,1,22,1,0,2,0,8,2,5,6,1,5,0,83,0,2,2
Renewables & Environment,2,8,5,1,0,7,0,0,0,0,18,1,1,10,0,1,0,0,49,0,0
Telecommunications,0,2,9,2,1,48,0,0,0,1,5,5,6,3,0,0,1,0,1,51,2
Wholesale,8,11,25,3,0,19,0,0,0,3,24,6,10,17,0,5,2,5,0,0,94
