,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,186,2,14,5,1,40,1,0,1,2,13,11,3,31,1,1,0,1,1,0,3
Construction,2,202,13,0,0,65,0,0,3,1,32,13,8,24,0,3,14,0,2,0,4
Consumer Goods,13,14,217,7,0,98,1,1,1,0,22,13,2,70,4,7,2,11,4,3,16
Financial Services,4,0,4,281,1,58,13,4,2,0,4,17,4,4,2,5,5,1,1,2,0
Human Resources,2,3,2,2,106,31,0,1,3,0,2,32,7,0,0,2,0,0,0,0,0
Information Technology and Services,14,15,27,14,8,1236,3,2,3,6,13,65,23,26,28,10,3,0,1,6,2
Insurance,2,0,3,16,0,19,72,0,0,0,1,4,1,0,1,3,3,0,0,0,0
Legal Services,0,0,1,3,0,9,2,100,0,0,2,6,0,1,0,2,2,0,0,0,0
"Leisure, Travel & Tourism",1,1,4,1,0,6,0,0,95,0,4,1,1,0,0,1,2,4,0,0,1
Logistics and Supply Chain,4,2,8,2,0,27,0,0,1,86,6,5,0,3,0,1,0,0,0,0,2
Machinery,10,21,30,1,2,66,0,1,0,5,221,8,3,107,0,3,4,2,9,0,12
Management Consulting,1,12,10,13,18,178,2,5,1,3,15,355,25,7,4,11,4,0,2,0,1
Marketing and Advertising,7,6,7,5,2,96,0,0,2,3,8,20,333,3,16,6,2,2,1,0,3
Mechanical or Industrial Engineering,15,20,32,2,1,90,0,0,0,3,93,12,6,289,0,5,0,1,2,1,5
Media Production,2,0,9,4,2,99,0,0,2,1,2,15,49,3,47,1,0,1,0,0,4
Medical Practice,0,3,10,1,0,68,0,0,0,0,16,14,4,15,1,216,2,5,0,0,1
Real Estate,0,20,3,6,0,29,1,0,1,1,1,6,2,3,1,2,160,0,0,0,0
Recreational Facilities and Services,0,3,17,0,1,34,0,0,2,0,11,4,5,5,1,3,0,59,0,0,11
Renewables & Environment,1,7,7,0,0,16,0,0,0,1,16,2,0,15,0,0,0,0,37,1,0
Telecommunications,1,1,10,1,0,55,0,0,0,0,3,8,6,5,1,0,0,0,2,43,1
Wholesale,3,10,39,0,0,27,0,0,1,2,19,8,12,23,1,3,0,8,1,0,75
