,precision,recall,f1-score,support
Automotive,0.7730263157894737,0.7413249211356467,0.7568438003220613,317.0
Construction,0.681265206812652,0.7253886010362695,0.7026348808030113,386.0
Consumer Goods,0.6112185686653772,0.6245059288537549,0.6177908113391986,506.0
Financial Services,0.836272040302267,0.8058252427184466,0.8207663782447465,412.0
Human Resources,0.7790697674418605,0.694300518134715,0.7342465753424658,193.0
Information Technology and Services,0.7025697102241663,0.8538205980066446,0.7708458308338333,1505.0
Insurance,0.8256880733944955,0.72,0.7692307692307692,125.0
Legal Services,0.9147286821705426,0.921875,0.9182879377431907,128.0
"Leisure, Travel & Tourism",0.8442622950819673,0.8442622950819673,0.8442622950819673,122.0
Logistics and Supply Chain,0.832,0.7074829931972789,0.7647058823529411,147.0
Machinery,0.5618448637316562,0.5306930693069307,0.5458248472505092,505.0
Management Consulting,0.6798679867986799,0.6176911544227887,0.6472898664571879,667.0
Marketing and Advertising,0.7199281867145422,0.7681992337164751,0.7432808155699722,522.0
Mechanical or Industrial Engineering,0.5736925515055468,0.6273830155979203,0.5993377483443708,577.0
Media Production,0.5364238410596026,0.3360995850622407,0.413265306122449,241.0
Medical Practice,0.8221574344023324,0.7921348314606742,0.8068669527896996,356.0
Real Estate,0.8761904761904762,0.7796610169491526,0.8251121076233184,236.0
Recreational Facilities and Services,0.7379310344827587,0.6858974358974359,0.7109634551495017,156.0
Renewables & Environment,0.75,0.5242718446601942,0.6171428571428571,103.0
Telecommunications,0.7037037037037037,0.41605839416058393,0.5229357798165137,137.0
Wholesale,0.6756756756756757,0.5387931034482759,0.5995203836930455,232.0
accuracy,0.7038161890928298,0.7038161890928298,0.7038161890928298,0.7038161890928298
macro avg,0.7351198292451322,0.6788413706117807,0.7014835848216006,7573.0
weighted avg,0.7042746358259436,0.7038161890928298,0.699960756532749,7573.0
