,precision,recall,f1-score,support
Automotive,0.6791808873720137,0.6277602523659306,0.6524590163934426,317.0
Construction,0.651595744680851,0.6347150259067358,0.6430446194225721,386.0
Consumer Goods,0.5228136882129277,0.5434782608695652,0.5329457364341085,506.0
Financial Services,0.7974025974025974,0.7451456310679612,0.7703889585947303,412.0
Human Resources,0.717948717948718,0.5803108808290155,0.6418338108882521,193.0
Information Technology and Services,0.6427115188583078,0.837873754152824,0.7274300548024228,1505.0
Insurance,0.7889908256880734,0.688,0.7350427350427351,125.0
Legal Services,0.9210526315789473,0.8203125,0.8677685950413222,128.0
"Leisure, Travel & Tourism",0.8319327731092437,0.8114754098360656,0.8215767634854773,122.0
Logistics and Supply Chain,0.7661290322580645,0.6462585034013606,0.7011070110701108,147.0
Machinery,0.5,0.5128712871287129,0.5063538611925709,505.0
Management Consulting,0.6176470588235294,0.5667166416791605,0.5910867865519938,667.0
Marketing and Advertising,0.6642335766423357,0.6973180076628352,0.680373831775701,522.0
Mechanical or Industrial Engineering,0.5163297045101088,0.5753899480069324,0.5442622950819672,577.0
Media Production,0.5,0.2697095435684647,0.3504043126684636,241.0
Medical Practice,0.7808641975308642,0.7106741573033708,0.7441176470588234,356.0
Real Estate,0.784688995215311,0.6949152542372882,0.7370786516853933,236.0
Recreational Facilities and Services,0.6564885496183206,0.5512820512820513,0.5993031358885017,156.0
Renewables & Environment,0.7014925373134329,0.4563106796116505,0.5529411764705883,103.0
Telecommunications,0.7096774193548387,0.32116788321167883,0.4422110552763819,137.0
Wholesale,0.5454545454545454,0.3879310344827586,0.4534005037783375,232.0
accuracy,0.6425458867027598,0.6425458867027598,0.6425458867027598,0.6425458867027598
macro avg,0.680792142932049,0.6037912717430649,0.6331014551716142,7573.0
weighted avg,0.6453987069440273,0.6425458867027598,0.637224285881119,7573.0
