,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,235,2,12,3,1,15,0,1,0,0,12,8,1,22,0,1,0,0,0,0,4
Construction,1,280,17,1,1,18,0,0,3,0,23,10,7,11,0,1,7,1,3,0,2
Consumer Goods,9,15,316,0,0,43,0,1,1,1,19,9,3,45,4,7,3,11,3,1,15
Financial Services,5,3,4,332,0,32,12,2,0,0,0,13,1,1,0,2,1,1,1,2,0
Human Resources,0,1,0,2,134,14,0,0,1,0,3,26,6,2,0,2,0,0,0,1,1
Information Technology and Services,6,4,23,12,6,1285,0,2,3,7,5,53,20,8,36,13,3,1,0,12,6
Insurance,2,0,0,12,0,12,90,0,0,0,0,3,2,1,0,1,2,0,0,0,0
Legal Services,0,0,1,4,0,1,0,118,0,0,0,2,0,0,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",0,1,2,1,0,6,0,0,103,0,0,1,1,0,0,0,2,4,0,0,1
Logistics and Supply Chain,4,2,7,1,0,10,0,0,0,104,6,5,1,4,0,0,0,0,1,0,2
Machinery,9,26,17,1,0,26,0,0,1,1,268,5,2,122,0,6,3,2,4,2,10
Management Consulting,2,19,8,13,20,121,4,5,0,2,4,412,28,7,8,6,2,2,2,2,0
Marketing and Advertising,4,7,8,2,1,44,0,0,1,3,2,18,401,2,19,5,1,3,0,0,1
Mechanical or Industrial Engineering,18,21,29,0,1,37,0,0,0,3,81,10,2,362,0,1,1,1,1,0,9
Media Production,0,0,9,2,4,74,0,0,3,1,0,7,50,3,81,1,0,1,0,3,2
Medical Practice,1,1,5,0,1,21,2,0,0,1,9,12,5,10,0,282,0,4,1,0,1
Real Estate,1,13,4,9,0,8,1,0,3,1,0,5,3,2,1,1,184,0,0,0,0
Recreational Facilities and Services,0,1,8,0,1,8,0,0,3,0,5,2,6,4,1,6,0,107,1,0,3
Renewables & Environment,1,4,6,1,0,5,0,0,0,0,17,1,1,13,0,0,0,0,54,0,0
Telecommunications,1,4,15,1,1,42,0,0,0,0,2,3,6,1,0,0,0,0,1,57,3
Wholesale,5,7,26,0,1,7,0,0,0,1,21,1,11,11,1,7,0,7,0,1,125
