,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,199,1,18,3,2,21,0,0,0,3,16,10,9,28,1,0,0,1,0,1,4
Construction,3,245,15,2,1,27,0,0,2,3,28,12,8,17,0,1,16,1,3,0,2
Consumer Goods,14,10,275,3,0,53,0,0,0,0,37,7,4,59,2,3,2,9,4,1,23
Financial Services,8,1,4,307,0,43,12,2,1,1,2,19,1,3,0,4,3,1,0,0,0
Human Resources,0,1,0,1,112,26,1,0,1,0,2,32,8,3,1,5,0,0,0,0,0
Information Technology and Services,11,4,19,16,9,1261,1,1,4,5,6,61,28,15,27,13,5,5,1,9,4
Insurance,1,1,1,14,0,12,86,0,0,1,0,4,1,0,0,1,3,0,0,0,0
Legal Services,0,1,1,5,0,4,0,105,0,0,0,5,1,0,0,3,3,0,0,0,0
"Leisure, Travel & Tourism",0,0,3,1,1,7,0,0,99,0,0,1,2,1,0,0,2,5,0,0,0
Logistics and Supply Chain,4,3,6,1,0,14,0,0,0,95,4,5,3,8,0,1,0,0,1,0,2
Machinery,18,25,23,2,1,23,0,0,1,2,259,8,1,118,1,3,3,1,2,1,13
Management Consulting,5,13,9,13,22,140,2,5,0,2,9,378,32,6,8,12,5,1,2,2,1
Marketing and Advertising,7,10,12,2,2,58,0,0,2,3,2,19,364,4,19,4,2,3,1,1,7
Mechanical or Industrial Engineering,16,10,34,1,1,56,0,0,0,4,89,11,4,332,0,7,0,2,1,0,9
Media Production,0,2,11,5,2,84,0,1,4,0,0,9,52,1,65,2,0,0,0,1,2
Medical Practice,2,2,9,0,0,38,2,0,0,1,11,13,4,15,1,253,1,2,1,0,1
Real Estate,0,18,5,5,0,16,5,0,3,2,3,7,2,0,0,2,164,1,0,2,1
Recreational Facilities and Services,0,2,19,1,2,6,0,0,2,0,7,5,8,4,0,5,0,86,3,0,6
Renewables & Environment,1,5,6,0,0,11,0,0,0,0,17,2,0,12,1,1,0,0,47,0,0
Telecommunications,0,5,15,3,1,47,0,0,0,1,4,3,7,3,2,0,0,1,1,44,0
Wholesale,4,17,41,0,0,15,0,0,0,1,22,1,9,14,2,4,0,12,0,0,90
