,precision,recall,f1-score,support
Automotive,0.7601351351351351,0.7097791798107256,0.734094616639478,317.0
Construction,0.6658354114713217,0.6917098445595855,0.6785260482846253,386.0
Consumer Goods,0.6192384769539078,0.6106719367588933,0.6149253731343283,506.0
Financial Services,0.841688654353562,0.7742718446601942,0.8065739570164349,412.0
Human Resources,0.75625,0.6269430051813472,0.6855524079320112,193.0
Information Technology and Services,0.6796218487394958,0.8598006644518272,0.7591669111176299,1505.0
Insurance,0.8,0.704,0.748936170212766,125.0
Legal Services,0.8931297709923665,0.9140625,0.9034749034749036,128.0
"Leisure, Travel & Tourism",0.8559322033898306,0.8278688524590164,0.8416666666666667,122.0
Logistics and Supply Chain,0.8031496062992126,0.6938775510204082,0.7445255474452555,147.0
Machinery,0.5463709677419355,0.5366336633663367,0.5414585414585416,505.0
Management Consulting,0.6638795986622074,0.5952023988005997,0.6276679841897232,667.0
Marketing and Advertising,0.697508896797153,0.7509578544061303,0.7232472324723246,522.0
Mechanical or Industrial Engineering,0.5665101721439749,0.6273830155979203,0.5953947368421052,577.0
Media Production,0.5323741007194245,0.3070539419087137,0.3894736842105263,241.0
Medical Practice,0.8082595870206489,0.7696629213483146,0.7884892086330935,356.0
Real Estate,0.8483412322274881,0.7584745762711864,0.8008948545861297,236.0
Recreational Facilities and Services,0.7401574803149606,0.6025641025641025,0.6643109540636042,156.0
Renewables & Environment,0.7647058823529411,0.5048543689320388,0.6081871345029239,103.0
Telecommunications,0.6794871794871795,0.38686131386861317,0.49302325581395345,137.0
Wholesale,0.6282722513089005,0.5172413793103449,0.5673758865248226,232.0
accuracy,0.6881024692988248,0.6881024692988248,0.6881024692988248,0.6881024692988248
macro avg,0.7214689741005545,0.6557083292988714,0.6817602892962784,7573.0
weighted avg,0.6896488169567534,0.6881024692988248,0.6835500561942952,7573.0
