,precision,recall,f1-score,support
Automotive,0.717391304347826,0.6246056782334385,0.6677908937605397,317.0
Construction,0.6535211267605634,0.6010362694300518,0.6261808367071526,386.0
Consumer Goods,0.5285087719298246,0.4762845849802372,0.5010395010395011,506.0
Financial Services,0.7900262467191601,0.7305825242718447,0.7591424968474149,412.0
Human Resources,0.7189542483660131,0.5699481865284974,0.6358381502890174,193.0
Information Technology and Services,0.5848112778535698,0.8544850498338871,0.6943844492440604,1505.0
Insurance,0.7474747474747475,0.592,0.6607142857142857,125.0
Legal Services,0.9,0.7734375,0.8319327731092439,128.0
"Leisure, Travel & Tourism",0.8333333333333334,0.7786885245901639,0.8050847457627118,122.0
Logistics and Supply Chain,0.7563025210084033,0.6122448979591837,0.6766917293233082,147.0
Machinery,0.4871287128712871,0.4871287128712871,0.4871287128712871,505.0
Management Consulting,0.5912762520193862,0.5487256371814093,0.5692068429237948,667.0
Marketing and Advertising,0.6735849056603773,0.6839080459770115,0.6787072243346007,522.0
Mechanical or Industrial Engineering,0.501577287066246,0.5511265164644714,0.5251857968620974,577.0
Media Production,0.48214285714285715,0.22406639004149378,0.3059490084985836,241.0
Medical Practice,0.7442622950819672,0.6376404494382022,0.686838124054463,356.0
Real Estate,0.8284313725490197,0.7161016949152542,0.7681818181818182,236.0
Recreational Facilities and Services,0.6695652173913044,0.4935897435897436,0.5682656826568265,156.0
Renewables & Environment,0.6724137931034483,0.3786407766990291,0.484472049689441,103.0
Telecommunications,0.7547169811320755,0.291970802919708,0.4210526315789474,137.0
Wholesale,0.5397727272727273,0.40948275862068967,0.46568627450980393,232.0
accuracy,0.622474580747392,0.622474580747392,0.622474580747392,0.622474580747392
macro avg,0.6750093323373397,0.5731283211688384,0.6104511441885189,7573.0
weighted avg,0.6303137004122866,0.622474580747392,0.6154780274332363,7573.0
