,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,225,2,12,1,1,22,0,0,0,0,18,7,1,19,0,0,0,3,0,0,6
Construction,1,267,16,2,1,24,0,0,2,0,26,10,9,12,2,2,8,0,3,0,1
Consumer Goods,9,18,309,1,0,39,1,1,0,1,25,8,5,41,2,14,3,9,2,2,16
Financial Services,5,0,3,319,1,44,12,3,0,0,1,12,3,2,2,2,0,1,0,2,0
Human Resources,1,2,2,2,121,18,1,1,1,0,2,29,7,0,1,3,0,0,0,1,1
Information Technology and Services,6,7,15,13,7,1294,0,4,1,9,2,52,27,16,29,8,1,0,1,9,4
Insurance,1,1,2,11,0,14,88,0,0,0,0,2,1,1,0,2,2,0,0,0,0
Legal Services,0,0,1,3,0,2,0,117,0,0,0,3,0,0,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",0,2,2,1,1,4,0,0,101,0,1,2,1,0,0,0,2,4,0,1,0
Logistics and Supply Chain,5,3,3,0,0,11,0,0,0,102,7,3,0,9,0,0,1,0,1,1,1
Machinery,8,23,13,0,0,33,0,0,0,1,271,6,3,121,0,5,3,1,4,0,13
Management Consulting,1,18,10,11,20,132,4,5,1,3,5,397,26,9,10,7,2,0,2,2,2
Marketing and Advertising,5,8,7,2,1,48,0,0,1,2,2,22,392,2,17,4,0,3,0,4,2
Mechanical or Industrial Engineering,18,17,29,0,0,35,0,0,0,3,78,11,4,362,0,2,3,2,1,0,12
Media Production,3,0,8,4,3,71,0,0,3,1,1,7,56,1,74,1,3,1,0,3,1
Medical Practice,0,1,5,1,1,27,2,0,1,2,8,14,2,9,0,274,1,5,1,0,2
Real Estate,1,18,2,5,0,12,2,0,4,1,1,4,2,5,0,0,179,0,0,0,0
Recreational Facilities and Services,2,1,11,0,1,14,0,0,3,0,12,0,4,4,0,5,0,94,0,0,5
Renewables & Environment,2,5,4,1,0,9,0,0,0,0,16,2,0,11,0,0,0,0,52,0,1
Telecommunications,0,3,13,1,2,42,0,0,0,0,2,4,7,2,1,1,1,0,1,53,4
Wholesale,3,5,32,1,0,9,0,0,0,2,18,3,12,13,1,8,1,4,0,0,120
