,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,198,0,11,4,2,29,0,0,0,3,18,13,5,26,0,0,0,2,0,0,6
Construction,2,232,14,2,2,43,0,0,5,2,25,12,5,15,0,4,16,1,4,0,2
Consumer Goods,13,14,241,2,0,80,0,0,0,0,29,7,5,71,2,8,2,6,2,5,19
Financial Services,6,2,3,301,0,52,11,3,1,0,1,15,5,2,1,3,2,2,0,2,0
Human Resources,0,3,2,1,110,32,0,1,1,0,2,28,8,2,0,3,0,0,0,0,0
Information Technology and Services,7,8,12,10,7,1286,3,0,3,4,7,66,28,15,26,11,2,0,2,3,5
Insurance,2,1,2,17,0,18,74,0,0,0,0,2,1,0,0,5,3,0,0,0,0
Legal Services,0,0,3,8,0,7,1,99,0,0,2,5,1,0,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",1,0,3,1,1,10,0,0,95,0,0,1,2,1,0,0,1,6,0,0,0
Logistics and Supply Chain,5,2,4,1,0,24,0,0,0,90,4,5,1,6,0,1,0,0,0,0,4
Machinery,11,25,17,2,2,44,1,0,0,7,246,12,2,112,0,4,1,0,2,1,16
Management Consulting,4,11,8,15,24,153,2,6,2,2,12,366,24,7,6,14,4,2,3,1,1
Marketing and Advertising,6,9,8,5,0,79,0,0,1,1,1,22,357,3,15,5,1,3,1,1,4
Mechanical or Industrial Engineering,14,13,34,1,1,59,0,0,0,4,90,15,7,318,0,5,0,3,2,0,11
Media Production,0,0,14,2,0,97,0,0,2,0,1,12,54,0,54,1,1,1,0,0,2
Medical Practice,0,2,15,1,0,54,3,0,1,2,12,19,2,10,2,227,1,3,0,0,2
Real Estate,0,12,1,5,0,25,4,1,2,1,1,8,3,1,0,2,169,0,0,0,1
Recreational Facilities and Services,0,3,14,0,2,21,0,0,1,0,11,1,5,6,2,6,0,77,1,0,6
Renewables & Environment,1,4,7,1,0,12,0,0,0,0,19,2,1,16,1,0,0,0,39,0,0
Telecommunications,1,4,14,1,1,51,0,0,0,0,1,6,7,5,2,0,0,1,1,40,2
Wholesale,5,10,29,1,1,23,0,0,0,3,23,2,7,18,1,5,0,8,1,0,95
