,precision,recall,f1-score,support
Automotive,0.7824675324675324,0.7602523659305994,0.7712,317.0
Construction,0.6861313868613139,0.7305699481865285,0.7076537013801756,386.0
Consumer Goods,0.6367265469061876,0.6304347826086957,0.6335650446871897,506.0
Financial Services,0.8232323232323232,0.7912621359223301,0.8069306930693069,412.0
Human Resources,0.7636363636363637,0.6528497409326425,0.7039106145251397,193.0
Information Technology and Services,0.7081287506819421,0.8624584717607974,0.7777112043139605,1505.0
Insurance,0.8272727272727273,0.728,0.774468085106383,125.0
Legal Services,0.9007633587786259,0.921875,0.9111969111969112,128.0
"Leisure, Travel & Tourism",0.8487394957983193,0.8278688524590164,0.8381742738589212,122.0
Logistics and Supply Chain,0.8253968253968254,0.7074829931972789,0.7619047619047618,147.0
Machinery,0.5665322580645161,0.5564356435643565,0.5614385614385615,505.0
Management Consulting,0.6858108108108109,0.6086956521739131,0.6449563145353455,667.0
Marketing and Advertising,0.7115044247787611,0.7701149425287356,0.7396504139834407,522.0
Mechanical or Industrial Engineering,0.5716535433070866,0.6291161178509532,0.599009900990099,577.0
Media Production,0.527027027027027,0.3236514522821577,0.40102827763496146,241.0
Medical Practice,0.8328445747800587,0.797752808988764,0.8149210903873744,356.0
Real Estate,0.8651162790697674,0.788135593220339,0.8248337028824834,236.0
Recreational Facilities and Services,0.7555555555555555,0.6538461538461539,0.7010309278350516,156.0
Renewables & Environment,0.7297297297297297,0.5242718446601942,0.6101694915254238,103.0
Telecommunications,0.7073170731707317,0.4233576642335766,0.5296803652968036,137.0
Wholesale,0.6421052631578947,0.5258620689655172,0.5781990521327015,232.0
accuracy,0.7054007658787799,0.7054007658787799,0.7054007658787799,0.7054007658787799
macro avg,0.7332234214516239,0.6768711539672643,0.6996015899373806,7573.0
weighted avg,0.7054408466784857,0.7054007658787799,0.7012345026326948,7573.0
