,precision,recall,f1-score,support
Automotive,0.6909722222222222,0.6277602523659306,0.6578512396694215,317.0
Construction,0.6411609498680739,0.6295336787564767,0.6352941176470589,386.0
Consumer Goods,0.5271317829457365,0.5375494071146245,0.5322896281800392,506.0
Financial Services,0.8121693121693122,0.7451456310679612,0.7772151898734176,412.0
Human Resources,0.7718120805369127,0.5958549222797928,0.672514619883041,193.0
Information Technology and Services,0.6364992541024366,0.8504983388704319,0.7281001137656429,1505.0
Insurance,0.7830188679245284,0.664,0.7186147186147186,125.0
Legal Services,0.9051724137931034,0.8203125,0.860655737704918,128.0
"Leisure, Travel & Tourism",0.8620689655172413,0.819672131147541,0.8403361344537814,122.0
Logistics and Supply Chain,0.7209302325581395,0.6326530612244898,0.6739130434782609,147.0
Machinery,0.49049429657794674,0.5108910891089109,0.5004849660523764,505.0
Management Consulting,0.6153846153846154,0.5637181409295352,0.5884194053208137,667.0
Marketing and Advertising,0.6703910614525139,0.6896551724137931,0.6798866855524079,522.0
Mechanical or Industrial Engineering,0.5241157556270096,0.5649913344887348,0.5437864887406172,577.0
Media Production,0.49586776859504134,0.24896265560165975,0.3314917127071823,241.0
Medical Practice,0.7760736196319018,0.7106741573033708,0.7419354838709677,356.0
Real Estate,0.8195121951219512,0.711864406779661,0.761904761904762,236.0
Recreational Facilities and Services,0.6496350364963503,0.5705128205128205,0.6075085324232081,156.0
Renewables & Environment,0.6811594202898551,0.4563106796116505,0.5465116279069767,103.0
Telecommunications,0.6984126984126984,0.32116788321167883,0.43999999999999995,137.0
Wholesale,0.5416666666666666,0.3922413793103448,0.4549999999999999,232.0
accuracy,0.6429420308992473,0.6429420308992473,0.6429420308992473,0.6429420308992473
macro avg,0.6816023436140123,0.6030461734333052,0.6330340098928386,7573.0
weighted avg,0.6460070578094386,0.6429420308992473,0.6371441922627701,7573.0
