,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,241,2,6,2,1,16,0,0,0,0,15,6,3,19,0,0,0,1,0,0,5
Construction,1,282,14,0,1,19,0,0,2,0,25,8,10,10,0,1,8,0,3,0,2
Consumer Goods,8,17,319,1,0,36,0,1,1,1,23,10,4,44,4,6,2,9,3,2,15
Financial Services,8,2,2,326,1,36,12,2,0,0,0,12,2,1,1,3,0,1,1,2,0
Human Resources,0,1,0,1,126,18,0,1,1,0,2,30,5,2,1,3,0,0,0,1,1
Information Technology and Services,7,3,20,13,7,1298,0,3,2,7,3,48,20,13,34,9,4,0,0,10,4
Insurance,0,1,1,15,0,9,91,0,0,0,1,2,1,1,0,1,2,0,0,0,0
Legal Services,0,0,1,4,0,1,0,118,0,0,0,2,0,0,0,1,1,0,0,0,0
"Leisure, Travel & Tourism",0,2,3,1,1,4,0,0,101,0,1,1,2,0,0,0,1,4,0,0,1
Logistics and Supply Chain,4,2,4,1,0,8,0,0,0,104,5,3,1,8,0,1,1,0,1,1,3
Machinery,7,20,14,1,0,27,0,0,1,1,281,5,4,116,0,5,4,1,6,0,12
Management Consulting,1,17,7,13,21,128,4,6,1,2,4,406,26,6,8,7,2,2,2,3,1
Marketing and Advertising,3,10,8,1,0,42,0,0,1,3,3,19,402,2,19,3,1,2,0,1,2
Mechanical or Industrial Engineering,20,20,29,0,1,35,0,0,0,4,80,10,2,363,0,1,0,2,1,0,9
Media Production,1,0,10,4,3,68,0,0,3,1,0,6,54,2,78,1,3,2,0,3,2
Medical Practice,1,1,5,2,0,20,2,0,0,1,6,12,4,12,0,284,0,4,1,0,1
Real Estate,1,15,2,7,0,8,1,0,3,1,1,4,2,4,0,1,186,0,0,0,0
Recreational Facilities and Services,0,2,9,0,1,8,0,0,3,0,9,0,5,5,0,6,0,102,1,0,5
Renewables & Environment,1,4,5,1,0,8,0,0,0,0,15,2,0,12,0,0,0,0,54,0,1
Telecommunications,0,3,13,1,1,38,0,0,0,0,3,5,6,2,2,0,0,0,1,58,4
Wholesale,4,7,29,2,1,6,0,0,0,1,19,1,12,13,1,8,0,5,0,1,122
