,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,199,3,12,2,1,21,0,0,0,3,21,12,7,26,2,0,0,1,0,0,7
Construction,2,243,19,2,1,30,0,0,3,2,28,14,6,11,0,2,15,2,3,0,3
Consumer Goods,9,17,272,0,1,54,0,1,0,0,38,5,5,54,4,2,1,10,7,2,24
Financial Services,7,1,5,307,0,46,10,1,1,1,1,18,1,2,1,4,3,2,0,1,0
Human Resources,1,2,1,1,115,22,1,0,0,0,2,32,9,3,0,3,0,1,0,0,0
Information Technology and Services,8,5,18,15,5,1280,1,3,3,8,9,56,30,13,20,10,4,3,1,9,4
Insurance,2,0,0,14,0,12,83,0,0,2,1,3,2,1,0,3,2,0,0,0,0
Legal Services,0,1,1,3,0,4,0,105,0,0,1,6,1,0,0,4,2,0,0,0,0
"Leisure, Travel & Tourism",0,1,3,1,0,8,0,0,100,0,0,2,1,1,0,0,1,4,0,0,0
Logistics and Supply Chain,5,4,4,2,1,15,0,0,0,93,5,5,2,6,0,1,0,0,1,0,3
Machinery,18,24,24,2,0,22,0,0,1,2,258,8,4,119,0,5,3,1,2,1,11
Management Consulting,6,11,6,12,19,153,3,5,0,4,7,376,31,4,8,11,3,2,3,2,1
Marketing and Advertising,6,9,15,2,2,62,0,0,2,3,2,22,360,4,21,3,2,1,1,1,4
Mechanical or Industrial Engineering,16,9,46,0,0,52,0,0,0,3,90,14,3,326,0,8,0,3,0,0,7
Media Production,0,0,10,5,2,98,0,1,2,0,0,5,48,0,60,4,0,2,0,1,3
Medical Practice,1,3,8,0,0,38,3,0,0,2,13,13,3,11,1,253,0,4,1,0,2
Real Estate,0,19,4,4,0,13,5,0,3,2,1,8,2,2,0,2,168,2,0,0,1
Recreational Facilities and Services,0,5,11,1,1,12,0,0,1,0,8,3,9,4,0,4,0,89,2,1,5
Renewables & Environment,1,6,6,1,0,10,0,0,0,0,16,2,0,12,1,0,0,0,47,1,0
Telecommunications,1,3,15,4,1,44,0,0,0,1,3,6,5,2,2,1,1,1,1,44,2
Wholesale,6,13,36,0,0,15,0,0,0,3,22,1,8,21,1,6,0,9,0,0,91
