,precision,recall,f1-score,support
Automotive,0.6896551724137931,0.6309148264984227,0.6589785831960461,317.0
Construction,0.6243386243386243,0.6113989637305699,0.6178010471204188,386.0
Consumer Goods,0.5148514851485149,0.5138339920948617,0.5143422354104847,506.0
Financial Services,0.8092783505154639,0.7621359223300971,0.7849999999999999,412.0
Human Resources,0.7391304347826086,0.616580310880829,0.6723163841807909,193.0
Information Technology and Services,0.6462311557788945,0.8544850498338871,0.7359084406294707,1505.0
Insurance,0.7714285714285715,0.648,0.7043478260869566,125.0
Legal Services,0.8983050847457628,0.828125,0.8617886178861789,128.0
"Leisure, Travel & Tourism",0.8660714285714286,0.7950819672131147,0.829059829059829,122.0
Logistics and Supply Chain,0.744,0.6326530612244898,0.6838235294117647,147.0
Machinery,0.4971751412429379,0.5227722772277228,0.5096525096525096,505.0
Management Consulting,0.6163934426229508,0.5637181409295352,0.5888801879404855,667.0
Marketing and Advertising,0.6870229007633588,0.6896551724137931,0.6883365200764818,522.0
Mechanical or Industrial Engineering,0.5165876777251185,0.5667244367417678,0.540495867768595,577.0
Media Production,0.4961832061068702,0.2697095435684647,0.34946236559139787,241.0
Medical Practice,0.7724550898203593,0.7247191011235955,0.7478260869565218,356.0
Real Estate,0.8095238095238095,0.7203389830508474,0.7623318385650224,236.0
Recreational Facilities and Services,0.6180555555555556,0.5705128205128205,0.5933333333333333,156.0
Renewables & Environment,0.6865671641791045,0.44660194174757284,0.5411764705882354,103.0
Telecommunications,0.8305084745762712,0.35766423357664234,0.5000000000000001,137.0
Wholesale,0.5822784810126582,0.39655172413793105,0.4717948717948718,232.0
accuracy,0.6454509441436683,0.6454509441436683,0.6454509441436683,0.6454509441436683
macro avg,0.6864781548025075,0.6058179747065222,0.636031264059495,7573.0
weighted avg,0.6491154607364196,0.6454509441436683,0.6399463132706095,7573.0
