,precision,recall,f1-score,support
Automotive,0.7625418060200669,0.7192429022082019,0.7402597402597404,317.0
Construction,0.6557377049180327,0.7253886010362695,0.6888068880688807,386.0
Consumer Goods,0.621031746031746,0.6185770750988142,0.6198019801980198,506.0
Financial Services,0.8156565656565656,0.7839805825242718,0.7995049504950495,412.0
Human Resources,0.7515151515151515,0.6424870466321243,0.6927374301675977,193.0
Information Technology and Services,0.7024838012958964,0.8644518272425249,0.7750968126303248,1505.0
Insurance,0.8113207547169812,0.688,0.7445887445887446,125.0
Legal Services,0.8931297709923665,0.9140625,0.9034749034749036,128.0
"Leisure, Travel & Tourism",0.8695652173913043,0.819672131147541,0.8438818565400844,122.0
Logistics and Supply Chain,0.8225806451612904,0.6938775510204082,0.7527675276752769,147.0
Machinery,0.5428571428571428,0.5267326732673268,0.5346733668341709,505.0
Management Consulting,0.6520325203252032,0.6011994002998501,0.625585023400936,667.0
Marketing and Advertising,0.7107583774250441,0.7720306513409961,0.7401285583103766,522.0
Mechanical or Industrial Engineering,0.5686900958466453,0.6169844020797227,0.5918536990856192,577.0
Media Production,0.5555555555555556,0.33195020746887965,0.4155844155844156,241.0
Medical Practice,0.8303030303030303,0.7696629213483146,0.7988338192419825,356.0
Real Estate,0.8780487804878049,0.7627118644067796,0.8163265306122449,236.0
Recreational Facilities and Services,0.6853146853146853,0.6282051282051282,0.6555183946488294,156.0
Renewables & Environment,0.7285714285714285,0.49514563106796117,0.5895953757225434,103.0
Telecommunications,0.7142857142857143,0.40145985401459855,0.5140186915887851,137.0
Wholesale,0.6203208556149733,0.5,0.5536992840095466,232.0
accuracy,0.6937805361151459,0.6937805361151459,0.6937805361151459,0.6937805361151459
macro avg,0.7234429214422204,0.660753473829034,0.6855589520541939,7573.0
weighted avg,0.6944109405165644,0.6937805361151459,0.6893290828548396,7573.0
