,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,228,1,9,1,3,17,0,0,0,2,17,8,3,23,0,1,0,1,0,0,3
Construction,1,280,12,1,2,18,0,0,2,0,26,7,11,9,0,1,5,1,3,0,7
Consumer Goods,8,20,313,1,2,36,2,1,1,0,25,4,5,39,2,8,2,11,5,5,16
Financial Services,6,1,4,323,1,34,12,3,0,0,1,15,2,0,1,2,3,2,1,1,0
Human Resources,0,0,1,0,124,22,0,0,1,0,2,34,4,1,0,4,0,0,0,0,0
Information Technology and Services,7,1,19,15,4,1301,0,3,2,8,3,54,26,14,28,7,2,2,0,6,3
Insurance,1,2,0,16,0,8,86,0,0,0,2,3,1,1,0,3,2,0,0,0,0
Legal Services,0,1,1,5,0,1,0,117,0,0,0,2,0,0,0,0,1,0,0,0,0
"Leisure, Travel & Tourism",0,2,2,1,1,5,0,0,100,0,1,3,1,0,0,0,2,4,0,0,0
Logistics and Supply Chain,3,2,4,1,0,9,0,0,0,102,6,5,1,6,1,1,0,0,1,1,4
Machinery,10,28,13,1,0,27,0,0,0,1,266,10,3,120,0,5,3,3,3,0,12
Management Consulting,2,19,9,13,21,131,3,5,0,2,4,401,29,6,8,7,2,1,2,1,1
Marketing and Advertising,4,11,9,1,0,37,0,0,0,2,1,19,403,1,21,3,0,2,0,4,4
Mechanical or Industrial Engineering,16,21,31,0,1,41,0,0,0,3,81,11,1,356,1,1,0,2,1,0,10
Media Production,0,1,8,4,1,71,0,1,3,1,0,6,53,2,80,1,2,2,0,3,2
Medical Practice,0,2,11,0,2,26,2,0,0,1,4,13,1,12,0,274,0,5,1,0,2
Real Estate,2,20,3,7,0,7,1,1,3,1,1,5,1,3,0,1,180,0,0,0,0
Recreational Facilities and Services,1,3,6,0,1,10,0,0,3,0,11,0,9,5,0,5,0,98,1,0,3
Renewables & Environment,2,3,4,2,0,6,0,0,0,0,17,4,1,13,0,0,0,0,51,0,0
Telecommunications,1,3,14,2,2,38,0,0,0,0,1,7,5,2,2,0,0,0,1,55,4
Wholesale,7,6,31,2,0,7,0,0,0,1,21,4,7,13,0,6,1,9,0,1,116
