,Automotive,Construction,Consumer Goods,Financial Services,Human Resources,Information Technology and Services,Insurance,Legal Services,"Leisure, Travel & Tourism",Logistics and Supply Chain,Machinery,Management Consulting,Marketing and Advertising,Mechanical or Industrial Engineering,Media Production,Medical Practice,Real Estate,Recreational Facilities and Services,Renewables & Environment,Telecommunications,Wholesale
Automotive,200,3,15,2,2,23,0,0,0,3,13,11,7,30,0,1,0,1,1,0,5
Construction,1,236,20,0,1,27,1,0,2,3,25,14,6,19,0,3,19,2,2,0,5
Consumer Goods,10,13,260,3,1,60,0,1,0,0,37,6,4,63,4,3,1,14,6,1,19
Financial Services,8,1,5,314,0,37,11,3,1,1,1,18,2,3,2,3,2,0,0,0,0
Human Resources,0,2,0,1,119,23,1,1,0,0,2,32,6,1,0,4,0,1,0,0,0
Information Technology and Services,10,3,18,16,6,1286,2,1,4,5,9,53,30,12,23,11,2,3,1,5,5
Insurance,1,0,1,18,0,12,81,0,0,1,1,2,2,0,0,3,3,0,0,0,0
Legal Services,0,1,2,4,0,2,0,106,0,0,0,5,2,0,0,4,2,0,0,0,0
"Leisure, Travel & Tourism",0,1,2,1,0,9,0,0,97,0,0,2,1,1,1,0,2,5,0,0,0
Logistics and Supply Chain,7,3,7,2,0,15,0,0,0,93,2,7,0,6,0,2,0,0,1,0,2
Machinery,16,27,21,2,0,25,0,0,1,2,264,10,3,114,1,3,3,2,2,1,8
Management Consulting,5,11,9,12,23,146,3,5,0,2,7,376,29,6,7,15,5,2,2,1,1
Marketing and Advertising,7,11,14,2,2,60,0,0,2,2,3,21,360,4,23,4,1,1,0,1,4
Mechanical or Industrial Engineering,17,16,40,1,1,53,0,0,0,4,92,10,1,327,0,4,0,4,1,0,6
Media Production,0,2,11,3,2,90,0,1,2,0,1,5,50,0,65,3,0,2,0,1,3
Medical Practice,1,4,9,0,0,35,2,0,0,2,12,14,2,11,1,258,0,3,1,0,1
Real Estate,0,18,3,4,1,11,4,0,2,2,1,10,4,2,0,1,170,2,0,0,1
Recreational Facilities and Services,0,3,19,1,2,10,0,0,1,0,11,4,3,2,0,4,0,89,3,0,4
Renewables & Environment,1,7,3,1,0,10,0,0,0,1,18,0,0,14,1,1,0,0,46,0,0
Telecommunications,1,3,11,1,1,44,0,0,0,0,4,8,4,4,1,2,0,1,1,49,2
Wholesale,5,13,35,0,0,12,0,0,0,4,28,2,8,14,2,5,0,12,0,0,92
